txn_id_normalized,total_disputed_amount,chargeback_count,max_severity,chargeback_report_delay_hours,dispute_after_7_days_flag,invalid_chargeback_delay_flag
TXN00000007,2231.72,1,HIGH,5335.881388888889,True,False
TXN00000019,377.11,1,HIGH,,False,False
TXN00000021,1284.05,1,P4,,False,False
TXN00000025,1302.18,1,L,2016.0,True,False
TXN00000040,-1389.07,1,L,,False,False
TXN00000045,1101.8,1,MEDIUM,2109.1588888888887,True,False
TXN00000062,330.73,1,P4,2705.618611111111,True,False
TXN00000069,985.19,1,CRIT,585.6522222222222,True,False
TXN00000071,3311.22,1,M,,False,False
TXN00000074,-1503.93,1,P3,,False,False
TXN00000084,958.61,1,LOW,,False,False
TXN00000086,411.83,1,H,1112.2880555555555,True,False
TXN00000101,703.07,1,CRITICAL,,False,False
TXN00000106,7755.19,1,CRIT,,False,False
TXN00000123,4808.45,1,HIGH,,False,False
TXN00000132,548.59,1,M,4379.541388888889,True,False
TXN00000143,449.0,1,MEDIUM,497.3716666666666,True,False
TXN00000154,2025.66,1,LOW,,False,False
TXN00000155,1535.06,1,MEDIUM,350.22222222222223,True,False
TXN00000164,3086.0,1,P1,,False,False
TXN00000166,913.38,1,P2,1597.6638888888888,True,False
TXN00000175,1092.58,1,HIGH,192.0,True,False
TXN00000182,17413.88,1,P2,240.0,True,False
TXN00000213,658.27,1,MEDIUM,,False,False
TXN00000225,666.0,1,HIGH,3950.853611111111,True,False
TXN00000238,2745.21,1,P3,,False,False
TXN00000248,1984.03,1,L,44.263333333333335,False,False
TXN00000255,2178.8,1,P3,,False,False
TXN00000271,16937.48,1,MEDIUM,1330.4744444444443,True,False
TXN00000272,9250.0,1,MEDIUM,,False,False
TXN00000281,-1426.33,1,HIGH,,False,False
TXN00000284,2676.58,1,M,,False,False
TXN00000295,731.69,1,LOW,,False,False
TXN00000296,512.0,1,H,734.2519444444445,True,False
TXN00000311,2784.85,1,P2,1629.4091666666666,True,False
TXN00000312,-545.34,1,MEDIUM,,False,False
TXN00000318,0.0,1,L,90.46638888888889,False,False
TXN00000319,2189.0,1,MEDIUM,,False,False
TXN00000389,2566.03,1,H,733.9013888888888,True,False
TXN00000405,3060.38,1,LOW,425.72833333333335,True,False
TXN00000406,2066.08,1,HIGH,,False,False
TXN00000410,388.0,1,P2,0.0,False,False
TXN00000414,806.29,1,LOW,,False,False
TXN00000426,0.0,1,MEDIUM,5386.386666666666,True,False
TXN00000433,979.0,1,LOW,1131.3461111111112,True,False
TXN00000437,3962.0,1,P4,3877.1658333333335,True,False
TXN00000442,3270.0,1,P4,1000.5602777777776,True,False
TXN00000459,8278.26,1,HIGH,468.7677777777778,True,False
TXN00000462,9759.54,1,P4,,False,False
TXN00000463,0.0,1,HIGH,2595.915,True,False
TXN00000490,3134.07,1,LOW,,False,False
TXN00000491,929.69,1,MEDIUM,,False,False
TXN00000503,325.93,1,P2,1870.397222222222,True,False
TXN00000527,3784.42,1,P4,,False,False
TXN00000533,6055.78,1,MEDIUM,576.9291666666667,True,False
TXN00000534,1352.13,1,L,,False,False
TXN00000541,1346.0,1,L,150.68138888888888,False,False
TXN00000546,427.33,2,"LOW,MEDIUM",,False,False
TXN00000567,1015.09,1,P4,1551.0305555555556,True,False
TXN00000594,2315.48,1,M,1774.201388888889,True,False
TXN00000649,1174.17,1,MEDIUM,864.6080555555556,True,False
TXN00000653,4308.0,1,P4,1783.6861111111111,True,False
TXN00000675,3743.54,1,LOW,895.4511111111111,True,False
TXN00000677,2773.41,1,L,400.57194444444445,True,False
TXN00000679,4474.08,1,H,,False,False
TXN00000680,589.63,1,H,764.0591666666667,True,False
TXN00000711,0.0,1,H,,False,False
TXN00000724,454.0,1,HIGH,17.88888888888889,False,False
TXN00000736,0.0,1,LOW,242.3761111111111,True,False
TXN00000751,3107.33,1,M,,False,False
TXN00000762,1083.4,1,HIGH,676.7166666666667,True,False
TXN00000769,509.24,1,MEDIUM,,False,False
TXN00000779,4511.29,1,M,,False,False
TXN00000789,7945.0,1,HIGH,1000.1338888888888,True,False
TXN00000794,6166.88,2,"H,P3",,False,False
TXN00000797,1020.66,1,LOW,,False,False
TXN00000803,1719.0,1,MEDIUM,5464.1883333333335,True,False
TXN00000806,3611.11,1,LOW,,False,False
TXN00000818,1592.73,1,L,,False,False
TXN00000822,966.31,1,P4,4816.14,True,False
TXN00000823,6401.09,2,"M,P4",,False,False
TXN00000835,0.0,1,P4,,False,False
TXN00000841,2083.96,1,LOW,381.25138888888887,True,False
TXN00000843,-492.79,2,LOW,866.1027777777778,True,False
TXN00000850,1203.18,1,P3,,False,False
TXN00000863,2164.0,1,HIGH,603.2447222222222,True,False
TXN00000871,589.34,1,P1,,False,False
TXN00000877,1251.7,1,P4,391.62444444444446,True,False
TXN00000914,1207.28,1,H,1480.7105555555556,True,False
TXN00000916,577.0,1,HIGH,,False,False
TXN00000917,2601.86,1,L,1388.3722222222225,True,False
TXN00000921,1585.45,1,LOW,3577.411666666667,True,False
TXN00000926,486.0,1,P3,1476.8513888888888,True,False
TXN00000939,3776.84,1,MEDIUM,1966.8144444444445,True,False
TXN00000941,6049.12,1,LOW,,False,False
TXN00000947,2075.0,1,M,926.3405555555556,True,False
TXN00000950,1749.52,1,LOW,749.2130555555556,True,False
TXN00000954,12462.99,1,MEDIUM,,False,False
TXN00000959,982.69,1,L,5607.2236111111115,True,False
TXN00000964,2761.55,1,L,,False,False
TXN00000967,1780.33,1,CRIT,,False,False
TXN00000969,6622.0,1,P3,,False,False
TXN00000976,1181.91,1,MEDIUM,1092.4919444444445,True,False
TXN00000995,0.0,1,MEDIUM,,False,False
TXN00001025,5150.06,1,M,,False,False
TXN00001026,2910.7,1,MEDIUM,,False,False
TXN00001028,0.0,1,MEDIUM,525.9733333333334,True,False
TXN00001041,1977.08,1,L,,False,False
TXN00001042,1526.17,1,P2,,False,False
TXN00001047,518.0,1,P4,,False,False
TXN00001071,2117.2,1,P3,673.3691666666666,True,False
TXN00001072,893.6,1,MEDIUM,,False,False
TXN00001095,1383.39,1,MEDIUM,456.1825,True,False
TXN00001097,4816.91,1,MEDIUM,396.44555555555553,True,False
TXN00001105,310.15,1,LOW,,False,False
TXN00001110,-1498.49,1,P2,1091.9969444444444,True,False
TXN00001120,8008.29,1,L,,False,False
TXN00001121,993.0,1,MEDIUM,,False,False
TXN00001134,1881.35,1,HIGH,862.7605555555556,True,False
TXN00001135,2731.02,1,HIGH,,False,False
TXN00001152,1038.46,1,P3,1432.7191666666668,True,False
TXN00001154,336.21,1,M,,False,False
TXN00001155,335.78,1,MEDIUM,1076.4325,True,False
TXN00001158,461.85,1,L,,False,False
TXN00001160,2273.54,1,P4,,False,False
TXN00001169,16524.78,2,M,,False,False
TXN00001173,-1898.31,1,MEDIUM,,False,False
TXN00001182,261.51,1,P3,,False,False
TXN00001198,3605.24,1,H,,False,False
TXN00001207,5779.34,1,MEDIUM,2643.5833333333335,True,False
TXN00001209,2704.46,1,M,602.4016666666666,True,False
TXN00001215,5146.97,1,P3,,False,False
TXN00001222,10359.87,2,"LOW,P3",,False,False
TXN00001244,2127.67,2,M,,False,False
TXN00001246,702.0,1,HIGH,,False,False
TXN00001251,802.62,1,P2,,False,False
TXN00001256,0.0,1,P2,,False,False
TXN00001257,2576.33,1,L,,False,False
TXN00001261,1010.81,1,LOW,1327.33,True,False
TXN00001271,1190.0,1,P2,,False,False
TXN00001275,2210.2,1,LOW,,False,False
TXN00001284,141.27,1,P3,,False,False
TXN00001285,420.0,1,P4,146.13916666666665,False,False
TXN00001289,201.03,1,CRITICAL,1465.1263888888889,True,False
TXN00001291,1404.87,1,P2,,False,False
TXN00001292,33975.77,1,P4,,False,False
TXN00001309,0.0,1,H,288.3886111111111,True,False
TXN00001310,2026.3,1,L,,False,False
TXN00001323,7329.0,1,LOW,,False,False
TXN00001334,6666.14,1,M,993.2077777777778,True,False
TXN00001342,2534.0,1,HIGH,,False,False
TXN00001358,6742.91,1,CRIT,,False,False
TXN00001371,1844.6,1,LOW,,False,False
TXN00001376,1261.15,1,M,624.6669444444444,True,False
TXN00001381,1001.43,1,P4,4263.623333333333,True,False
TXN00001388,-5809.0,1,HIGH,4615.165555555555,True,False
TXN00001391,1852.28,1,LOW,303.0391666666667,True,False
TXN00001392,508.21,1,MEDIUM,,False,False
TXN00001397,2972.0,1,P2,,False,False
TXN00001405,2105.51,1,MEDIUM,761.7005555555555,True,False
TXN00001412,2142.0,1,HIGH,,False,False
TXN00001422,2080.17,1,LOW,552.8436111111112,True,False
TXN00001423,6009.85,1,MEDIUM,1163.1155555555556,True,False
TXN00001434,3251.08,1,HIGH,974.9522222222222,True,False
TXN00001443,2236.39,2,"LOW,MEDIUM",,False,False
TXN00001461,740.03,1,M,,False,False
TXN00001464,1112.83,1,P3,1554.18,True,False
TXN00001489,6345.72,1,HIGH,3074.2027777777776,True,False
TXN00001496,5669.05,1,LOW,340.9291666666667,True,False
TXN00001501,1157.85,1,H,,False,False
TXN00001518,9039.58,1,P2,88.71138888888889,False,False
TXN00001539,2117.07,1,MEDIUM,,False,False
TXN00001553,5796.41,1,CRITICAL,,False,False
TXN00001568,16468.34,2,"L,P3",,False,False
TXN00001580,19958.58,1,CRIT,,False,False
TXN00001582,6740.29,1,MEDIUM,,False,False
TXN00001593,759.56,1,H,30.743055555555557,False,False
TXN00001597,13348.89,1,CRITICAL,283.8936111111111,True,False
TXN00001614,13495.0,1,LOW,,False,False
TXN00001617,18876.03,2,"HIGH,L",299.90944444444443,True,False
TXN00001620,1998.29,2,"H,L",528.0,True,False
TXN00001628,0.0,1,MEDIUM,,False,False
TXN00001631,1405.08,1,P4,,False,False
TXN00001653,4022.0,1,P3,,False,False
TXN00001654,11920.81,1,L,333.1622222222222,True,False
TXN00001655,2589.0,1,CRITICAL,1239.4955555555557,True,False
TXN00001663,2379.68,1,P4,431.2708333333333,True,False
TXN00001671,2605.0,1,P2,1244.877222222222,True,False
TXN00001675,994.02,1,MEDIUM,860.2144444444444,True,False
TXN00001679,3270.48,2,"M,MEDIUM",,False,False
TXN00001691,875.81,1,P3,4024.3927777777776,True,False
TXN00001699,1995.0,1,LOW,,False,False
TXN00001703,4166.45,2,MEDIUM,87.3775,False,False
TXN00001705,2583.16,1,LOW,227.66361111111112,True,False
TXN00001710,-5894.84,1,P3,1824.075833333333,True,False
TXN00001735,-3084.74,1,P3,21.698888888888888,False,False
TXN00001739,482.37,1,P4,1557.9711111111112,True,False
TXN00001742,1286.87,1,LOW,408.5838888888889,True,False
TXN00001758,1416.0,1,LOW,726.5191666666667,True,False
TXN00001777,6040.0,1,MEDIUM,1234.5797222222222,True,False
TXN00001778,2008.0,1,P4,,False,False
TXN00001780,2351.6,1,H,2315.7030555555557,True,False
TXN00001789,3163.91,1,LOW,,False,False
TXN00001796,0.0,1,L,,False,False
TXN00001801,7245.79,2,LOW,3223.611388888889,True,False
TXN00001805,692.55,1,P3,,False,False
TXN00001807,0.0,1,P4,,False,False
TXN00001810,6930.0,1,LOW,3542.3344444444447,True,False
TXN00001816,7008.2699999999995,2,"H,LOW",293.0672222222222,True,False
TXN00001821,12679.09,1,M,694.9336111111111,True,False
TXN00001826,895.55,1,MEDIUM,373.2602777777778,True,False
TXN00001829,3042.0,1,HIGH,,False,False
TXN00001838,422.0,1,LOW,,False,False
TXN00001839,1071.92,1,P3,,False,False
TXN00001860,0.0,1,L,1477.7141666666666,True,False
TXN00001878,3834.0,1,HIGH,436.43805555555554,True,False
TXN00001882,2264.22,1,P3,1001.0541666666668,True,False
TXN00001893,1059.97,1,LOW,178.32694444444445,True,False
TXN00001898,638.96,1,P3,,False,False
TXN00001903,2512.35,1,P1,,False,False
TXN00001919,1859.77,1,LOW,2309.648888888889,True,False
TXN00001929,1412.21,1,L,,False,False
TXN00001948,12232.05,2,LOW,612.9077777777778,True,False
TXN00001962,0.0,1,P3,,False,False
TXN00001975,2767.52,2,HIGH,82.26305555555555,False,False
TXN00001983,1315.22,1,HIGH,,False,False
TXN00002006,637.05,1,MEDIUM,,False,False
TXN00002013,439.0,1,MEDIUM,897.0552777777777,True,False
TXN00002015,2615.98,1,CRIT,1682.993611111111,True,False
TXN00002022,7834.45,1,HIGH,1065.32,True,False
TXN00002045,3144.27,1,MEDIUM,,False,False
TXN00002053,2130.67,1,M,1809.7286111111111,True,False
TXN00002058,0.0,1,LOW,,False,False
TXN00002078,6907.46,1,LOW,39.27861111111111,False,False
TXN00002091,497.48,1,P2,1459.2222222222222,True,False
TXN00002106,-3875.59,1,MEDIUM,221.40833333333333,True,False
TXN00002107,6251.19,1,HIGH,,False,False
TXN00002114,4126.61,1,LOW,467.4036111111111,True,False
TXN00002125,2711.0,1,L,170.69805555555556,True,False
TXN00002139,-1116.32,1,L,792.4075,True,False
TXN00002141,6210.740000000001,2,"M,P2",,False,False
TXN00002142,13132.36,1,HIGH,,False,False
TXN00002147,1064.06,1,HIGH,,False,False
TXN00002165,1048.77,1,P3,774.0880555555556,True,False
TXN00002169,0.0,1,LOW,,False,False
TXN00002173,856.42,1,LOW,861.5394444444445,True,False
TXN00002182,0.0,1,LOW,63.51694444444445,False,False
TXN00002184,3019.75,1,MEDIUM,,False,False
TXN00002195,4960.35,1,L,1224.5519444444444,True,False
TXN00002200,3741.98,1,LOW,,False,False
TXN00002204,455.59,1,P2,3794.3841666666663,True,False
TXN00002207,-326.69,1,HIGH,1121.6263888888889,True,False
TXN00002216,5160.27,1,LOW,1279.506666666667,True,False
TXN00002219,3127.19,1,P2,727.8966666666666,True,False
TXN00002228,378.3,1,H,465.0316666666667,True,False
TXN00002240,401.02,1,P3,1239.8938888888888,True,False
TXN00002263,9476.14,1,MEDIUM,20.323611111111113,False,False
TXN00002289,397.0,1,LOW,,False,False
TXN00002301,769.17,1,L,,False,False
TXN00002303,1712.22,1,LOW,115.91527777777776,False,False
TXN00002314,1230.65,2,P2,1111.9458333333334,True,False
TXN00002316,20754.36,1,H,,False,False
TXN00002320,911.59,1,M,,False,False
TXN00002325,800.32,1,H,,False,False
TXN00002337,0.0,1,CRIT,150.23444444444445,False,False
TXN00002347,1200.09,1,M,807.7322222222223,True,False
TXN00002368,4581.54,1,P4,,False,False
TXN00002369,1718.0,1,LOW,1387.013611111111,True,False
TXN00002371,-7577.71,1,P3,214.825,True,False
TXN00002374,1428.93,1,P2,742.1466666666666,True,False
TXN00002381,3182.0,1,MEDIUM,2787.2616666666668,True,False
TXN00002382,44046.77,1,LOW,,False,False
TXN00002386,4215.68,1,P4,,False,False
TXN00002417,3188.13,1,MEDIUM,,False,False
TXN00002422,412.17,1,MEDIUM,863.7647222222222,True,False
TXN00002429,389.54,1,MEDIUM,965.52,True,False
TXN00002437,1368.83,1,HIGH,320.59555555555556,True,False
TXN00002450,896.7,1,P3,,False,False
TXN00002451,-224.97,1,M,,False,False
TXN00002456,1805.23,1,P4,,False,False
TXN00002461,0.0,1,LOW,,False,False
TXN00002462,2723.0,1,H,,False,False
TXN00002466,3099.92,1,CRITICAL,,False,False
TXN00002471,2207.71,1,HIGH,207.68194444444444,True,False
TXN00002480,5722.09,1,HIGH,1148.9422222222222,True,False
TXN00002490,1170.0,1,LOW,,False,False
TXN00002521,4940.0,1,H,2759.0133333333333,True,False
TXN00002522,877.59,1,MEDIUM,,False,False
TXN00002531,1017.5,1,M,,False,False
TXN00002544,-3839.34,1,LOW,220.79583333333332,True,False
