txn_id_normalized,chargeback_count,total_disputed_amount,max_severity,first_chargeback_timestamp,latest_chargeback_timestamp
TXN00000007,1,2231.72,HIGH,2026-09-02 00:00:00,2026-09-02 00:00:00
TXN00000019,1,377.11,HIGH,2026-01-03 01:49:00,2026-01-03 01:49:00
TXN00000021,1,1284.05,P4,2026-01-17 19:42:38,2026-01-17 19:42:38
TXN00000025,1,1302.18,L,2026-03-28 00:00:00,2026-03-28 00:00:00
TXN00000040,1,-1389.07,L,2026-01-25 00:00:00,2026-01-25 00:00:00
TXN00000045,1,1101.8,MEDIUM,2026-05-01 22:00:00,2026-05-01 22:00:00
TXN00000062,1,330.73,P4,2026-07-03 14:01:00,2026-07-03 14:01:00
TXN00000069,1,985.19,CRIT,2026-03-20 00:00:00,2026-03-20 00:00:00
TXN00000071,1,3311.22,M,2026-01-27 18:40:21,2026-01-27 18:40:21
TXN00000074,1,-1503.93,P3,2026-02-23 23:56:04,2026-02-23 23:56:04
TXN00000084,1,958.61,LOW,2026-02-08 00:00:00,2026-02-08 00:00:00
TXN00000086,1,411.83,H,2026-02-24 02:13:00,2026-02-24 02:13:00
TXN00000101,1,703.07,CRITICAL,2026-02-19 00:00:00,2026-02-19 00:00:00
TXN00000106,1,7755.19,CRIT,2026-02-19 08:16:00,2026-02-19 08:16:00
TXN00000123,1,4808.45,HIGH,2026-01-30 00:00:00,2026-01-30 00:00:00
TXN00000132,1,548.59,M,2026-08-02 02:36:00,2026-08-02 02:36:00
TXN00000143,1,449.0,MEDIUM,2026-03-26 08:39:16,2026-03-26 08:39:16
TXN00000154,1,2025.66,LOW,2026-02-06 00:00:00,2026-02-06 00:00:00
TXN00000155,1,1535.06,MEDIUM,2026-03-11 02:18:17,2026-03-11 02:18:17
TXN00000164,1,3086.0,P1,2026-01-08 00:00:00,2026-01-08 00:00:00
TXN00000166,1,913.38,P2,2026-03-22 00:00:00,2026-03-22 00:00:00
TXN00000175,1,1092.58,HIGH,2026-03-10 00:00:00,2026-03-10 00:00:00
TXN00000182,1,17413.88,P2,2026-02-17 00:00:00,2026-02-17 00:00:00
TXN00000213,1,658.27,MEDIUM,2026-02-24 23:41:15,2026-02-24 23:41:15
TXN00000225,1,666.0,HIGH,2026-07-03 22:21:00,2026-07-03 22:21:00
TXN00000238,1,2745.21,P3,2026-02-07 00:00:00,2026-02-07 00:00:00
TXN00000248,1,1984.03,L,2026-01-26 05:32:05,2026-01-26 05:32:05
TXN00000255,1,2178.8,P3,2026-01-16 00:00:00,2026-01-16 00:00:00
TXN00000271,1,16937.48,MEDIUM,2026-03-18 00:00:00,2026-03-18 00:00:00
TXN00000272,1,9250.0,MEDIUM,,
TXN00000281,1,-1426.33,HIGH,,
TXN00000284,1,2676.58,M,2026-03-21 12:58:56,2026-03-21 12:58:56
TXN00000295,1,731.69,LOW,2026-01-16 00:00:00,2026-01-16 00:00:00
TXN00000296,1,512.0,H,2026-03-29 17:25:00,2026-03-29 17:25:00
TXN00000311,1,2784.85,P2,2026-04-02 00:00:00,2026-04-02 00:00:00
TXN00000312,1,-545.34,MEDIUM,2026-01-13 00:00:00,2026-01-13 00:00:00
TXN00000318,1,0.0,L,2026-03-16 00:00:00,2026-03-16 00:00:00
TXN00000319,1,2189.0,MEDIUM,2026-02-24 00:00:00,2026-02-24 00:00:00
TXN00000389,1,2566.03,H,2026-02-06 06:31:54,2026-02-06 06:31:54
TXN00000405,1,3060.38,LOW,2026-03-24 00:00:00,2026-03-24 00:00:00
TXN00000406,1,2066.08,HIGH,2026-01-02 00:00:00,2026-01-02 00:00:00
TXN00000410,1,388.0,P2,2026-01-29 00:00:00,2026-01-29 00:00:00
TXN00000414,1,806.29,LOW,2026-02-13 00:00:00,2026-02-13 00:00:00
TXN00000426,1,0.0,MEDIUM,2026-10-04 00:00:00,2026-10-04 00:00:00
TXN00000433,1,979.0,LOW,2026-02-23 19:00:44,2026-02-23 19:00:44
TXN00000437,1,3962.0,P4,2026-09-03 05:21:00,2026-09-03 05:21:00
TXN00000442,1,3270.0,P4,2026-04-08 00:00:00,2026-04-08 00:00:00
TXN00000459,1,8278.26,HIGH,2026-02-20 00:52:09,2026-02-20 00:52:09
TXN00000462,1,9759.54,P4,2026-01-10 00:21:21,2026-01-10 00:21:21
TXN00000463,1,0.0,HIGH,2026-05-01 20:53:00,2026-05-01 20:53:00
TXN00000490,1,3134.07,LOW,2026-01-16 17:52:00,2026-01-16 17:52:00
TXN00000491,1,929.69,MEDIUM,2026-02-01 00:00:00,2026-02-01 00:00:00
TXN00000503,1,325.93,P2,2026-04-18 00:00:00,2026-04-18 00:00:00
TXN00000527,1,3784.42,P4,2026-01-20 00:00:00,2026-01-20 00:00:00
TXN00000533,1,6055.78,MEDIUM,2026-02-03 00:00:00,2026-02-03 00:00:00
TXN00000534,1,1352.13,L,2026-02-04 00:00:00,2026-02-04 00:00:00
TXN00000541,1,1346.0,L,2026-03-23 03:31:09,2026-03-23 03:31:09
TXN00000546,2,427.33,"LOW,MEDIUM",2026-03-03 19:44:09,2026-04-17 13:17:00
TXN00000567,1,1015.09,P4,2026-03-19 00:00:00,2026-03-19 00:00:00
TXN00000594,1,2315.48,M,2026-03-31 16:51:28,2026-03-31 16:51:28
TXN00000649,1,1174.17,MEDIUM,2026-04-13 00:00:00,2026-04-13 00:00:00
TXN00000653,1,4308.0,P4,2026-03-19 00:00:00,2026-03-19 00:00:00
TXN00000675,1,3743.54,LOW,2026-02-25 18:22:00,2026-02-25 18:22:00
TXN00000677,1,2773.41,L,2026-01-22 00:00:00,2026-01-22 00:00:00
TXN00000679,1,4474.08,H,2026-03-15 07:28:00,2026-03-15 07:28:00
TXN00000680,1,589.63,H,2026-02-02 00:00:00,2026-02-02 00:00:00
TXN00000711,1,0.0,H,,
TXN00000724,1,454.0,HIGH,2026-02-26 00:00:00,2026-02-26 00:00:00
TXN00000736,1,0.0,LOW,2026-03-11 00:00:00,2026-03-11 00:00:00
TXN00000751,1,3107.33,M,2026-02-06 00:00:00,2026-02-06 00:00:00
TXN00000762,1,1083.4,HIGH,2026-02-21 00:00:00,2026-02-21 00:00:00
TXN00000769,1,509.24,MEDIUM,,
TXN00000779,1,4511.29,M,2026-03-06 00:00:00,2026-03-06 00:00:00
TXN00000789,1,7945.0,HIGH,2026-02-26 00:00:00,2026-02-26 00:00:00
TXN00000794,2,6166.88,"H,P3",2026-02-22 00:00:00,2026-03-05 00:00:00
TXN00000797,1,1020.66,LOW,2026-03-02 00:00:00,2026-03-02 00:00:00
TXN00000803,1,1719.0,MEDIUM,2026-11-02 17:54:00,2026-11-02 17:54:00
TXN00000806,1,3611.11,LOW,2026-02-11 03:28:31,2026-02-11 03:28:31
TXN00000818,1,1592.73,L,,
TXN00000822,1,966.31,P4,2026-10-02 00:00:00,2026-10-02 00:00:00
TXN00000823,2,6401.09,"M,P4",2026-03-17 04:37:11,2026-04-29 00:00:00
TXN00000835,1,0.0,P4,2026-03-29 00:00:00,2026-03-29 00:00:00
TXN00000841,1,2083.96,LOW,2026-02-11 01:12:41,2026-02-11 01:12:41
TXN00000843,2,-492.78999999999996,LOW,2026-03-02 02:12:47,2026-04-05 00:00:00
TXN00000850,1,1203.18,P3,2026-01-20 00:00:00,2026-01-20 00:00:00
TXN00000863,1,2164.0,HIGH,2026-03-19 13:53:26,2026-03-19 13:53:26
TXN00000871,1,589.34,P1,2026-01-11 00:00:00,2026-01-11 00:00:00
TXN00000877,1,1251.7,P4,2026-03-11 00:00:00,2026-03-11 00:00:00
TXN00000914,1,1207.28,H,2026-03-25 00:00:00,2026-03-25 00:00:00
TXN00000916,1,577.0,HIGH,2026-01-03 00:00:00,2026-01-03 00:00:00
TXN00000917,1,2601.86,L,2026-04-16 00:00:00,2026-04-16 00:00:00
TXN00000921,1,1585.45,LOW,2026-08-03 00:00:00,2026-08-03 00:00:00
TXN00000926,1,486.0,P3,2026-03-19 13:26:00,2026-03-19 13:26:00
TXN00000939,1,3776.84,MEDIUM,2026-03-26 13:58:00,2026-03-26 13:58:00
TXN00000941,1,6049.12,LOW,2026-01-07 07:32:40,2026-01-07 07:32:40
TXN00000947,1,2075.0,M,2026-02-13 11:30:44,2026-02-13 11:30:44
TXN00000950,1,1749.52,LOW,2026-03-05 00:00:00,2026-03-05 00:00:00
TXN00000954,1,12462.99,MEDIUM,2026-02-02 00:00:00,2026-02-02 00:00:00
TXN00000959,1,982.69,L,2026-11-03 15:32:00,2026-11-03 15:32:00
TXN00000964,1,2761.55,L,2026-04-06 00:00:00,2026-04-06 00:00:00
TXN00000967,1,1780.33,CRIT,2026-01-24 00:00:00,2026-01-24 00:00:00
TXN00000969,1,6622.0,P3,2026-04-19 00:00:00,2026-04-19 00:00:00
TXN00000976,1,1181.91,MEDIUM,2026-02-19 10:18:00,2026-02-19 10:18:00
TXN00000995,1,0.0,MEDIUM,2026-02-22 00:00:00,2026-02-22 00:00:00
TXN00001025,1,5150.06,M,2026-03-07 00:00:00,2026-03-07 00:00:00
TXN00001026,1,2910.7,MEDIUM,2026-01-25 07:59:00,2026-01-25 07:59:00
TXN00001028,1,0.0,MEDIUM,2026-04-15 11:18:00,2026-04-15 11:18:00
TXN00001041,1,1977.08,L,2026-01-08 00:00:00,2026-01-08 00:00:00
TXN00001042,1,1526.17,P2,2026-03-05 00:00:00,2026-03-05 00:00:00
TXN00001047,1,518.0,P4,2026-01-21 00:00:00,2026-01-21 00:00:00
TXN00001071,1,2117.2,P3,2026-03-17 00:00:00,2026-03-17 00:00:00
TXN00001072,1,893.6,MEDIUM,,
TXN00001095,1,1383.39,MEDIUM,2026-03-09 00:00:00,2026-03-09 00:00:00
TXN00001097,1,4816.91,MEDIUM,2026-02-18 01:47:00,2026-02-18 01:47:00
