cluster_id,node_id,node_type
CLU00001,USR54295,USER
CLU00001,USR39723,USER
CLU00001,USR59452,USER
CLU00001,USR51724,USER
CLU00001,USR43767,USER
CLU00001,USR93305,USER
CLU00001,USR40241,USER
CLU00001,USR11145,USER
CLU00001,USR23392,USER
CLU00001,USR12293,USER
CLU00001,USR72471,USER
CLU00001,USR64199,USER
CLU00001,USR89746,USER
CLU00001,USR78529,USER
CLU00001,USR56391,USER
CLU00001,USR57682,USER
CLU00001,USR18769,USER
CLU00001,USR56014,USER
CLU00001,USR52183,USER
CLU00001,USR31711,USER
CLU00001,USR49896,USER
CLU00001,USR23343,USER
CLU00001,USR54671,USER
CLU00001,USR93098,USER
CLU00001,USR67324,USER
CLU00001,USR83071,USER
CLU00001,MCH8057,MERCHANT
CLU00001,MCH6656,MERCHANT
CLU00001,MCH4005,MERCHANT
CLU00001,MCH4598,MERCHANT
CLU00001,MCH5757,MERCHANT
CLU00001,MCH2461,MERCHANT
CLU00001,MCH4233,MERCHANT
CLU00001,MCH2860,MERCHANT
CLU00002,USR63213,USER
CLU00002,USR77852,USER
CLU00002,USR93535,USER
CLU00002,USR53783,USER
CLU00002,USR37019,USER
CLU00002,USR54556,USER
CLU00002,USR59734,USER
CLU00002,USR43897,USER
CLU00002,USR55146,USER
CLU00002,USR70689,USER
CLU00002,USR28459,USER
CLU00002,USR27277,USER
CLU00002,USR67654,USER
CLU00002,USR85233,USER
CLU00002,USR12214,USER
CLU00002,USR57581,USER
CLU00002,USR69151,USER
CLU00002,USR84838,USER
CLU00002,USR88387,USER
CLU00002,USR91526,USER
CLU00002,USR43853,USER
CLU00002,USR54593,USER
CLU00002,USR70030,USER
CLU00002,MCH6948,MERCHANT
CLU00002,MCH4692,MERCHANT
CLU00002,MCH7490,MERCHANT
CLU00002,MCH1585,MERCHANT
CLU00002,MCH4239,MERCHANT
CLU00002,MCH9341,MERCHANT
CLU00002,MCH8833,MERCHANT
CLU00002,MCH3454,MERCHANT
CLU00002,MCH2440,MERCHANT
CLU00003,USR34488,USER
CLU00003,USR74131,USER
CLU00003,USR29609,USER
CLU00003,USR29029,USER
CLU00003,USR30648,USER
CLU00003,USR33412,USER
CLU00003,USR25953,USER
CLU00003,USR16629,USER
CLU00003,USR99333,USER
CLU00003,USR60913,USER
CLU00003,USR84100,USER
CLU00003,USR43343,USER
CLU00003,USR56801,USER
CLU00003,USR66251,USER
CLU00003,MCH6189,MERCHANT
CLU00003,MCH5175,MERCHANT
CLU00003,MCH1011,MERCHANT
CLU00003,MCH6015,MERCHANT
CLU00003,MCH7753,MERCHANT
CLU00003,MCH5294,MERCHANT
CLU00003,MCH8075,MERCHANT
CLU00004,USR29331,USER
CLU00004,USR62341,USER
CLU00004,USR21809,USER
CLU00004,USR93914,USER
CLU00004,USR79924,USER
CLU00004,USR28861,USER
CLU00004,USR37355,USER
CLU00004,USR56732,USER
CLU00004,USR33426,USER
CLU00004,USR58977,USER
CLU00004,USR56840,USER
CLU00004,USR91117,USER
CLU00004,USR19411,USER
CLU00004,USR38814,USER
CLU00004,MCH3368,MERCHANT
CLU00004,MCH5276,MERCHANT
CLU00004,MCH7438,MERCHANT
CLU00004,MCH6952,MERCHANT
CLU00004,MCH7990,MERCHANT
CLU00004,MCH9043,MERCHANT
CLU00005,USR54265,USER
CLU00005,USR86779,USER
CLU00005,USR87462,USER
CLU00005,USR74033,USER
CLU00005,USR30092,USER
CLU00005,USR25765,USER
CLU00005,USR88569,USER
CLU00005,USR25951,USER
CLU00005,USR80544,USER
CLU00005,USR53850,USER
CLU00005,USR91598,USER
CLU00005,USR91270,USER
CLU00005,USR83605,USER
CLU00005,USR35665,USER
CLU00005,MCH4567,MERCHANT
CLU00005,MCH2301,MERCHANT
CLU00005,MCH5901,MERCHANT
CLU00005,MCH8600,MERCHANT
CLU00005,MCH5225,MERCHANT
CLU00006,USR39454,USER
CLU00006,USR64841,USER
CLU00006,USR72282,USER
CLU00006,USR34582,USER
CLU00006,USR10923,USER
CLU00006,USR74947,USER
CLU00006,USR12686,USER
CLU00006,USR17694,USER
CLU00006,USR33626,USER
CLU00006,USR58627,USER
CLU00006,MCH4071,MERCHANT
CLU00006,MCH1419,MERCHANT
CLU00006,MCH9944,MERCHANT
CLU00006,MCH5195,MERCHANT
CLU00006,MCH8540,MERCHANT
CLU00007,USR58226,USER
CLU00007,USR28596,USER
CLU00007,USR71300,USER
CLU00007,USR32962,USER
CLU00007,USR25105,USER
CLU00007,USR88819,USER
CLU00007,USR87117,USER
CLU00007,USR31527,USER
CLU00007,USR69126,USER
CLU00007,USR33357,USER
CLU00007,USR18523,USER
CLU00007,MCH5769,MERCHANT
CLU00007,MCH5405,MERCHANT
CLU00007,MCH5935,MERCHANT
CLU00007,MCH1336,MERCHANT
CLU00008,USR45690,USER
CLU00008,USR60666,USER
CLU00008,USR12043,USER
CLU00008,USR76301,USER
CLU00008,USR22260,USER
CLU00008,USR27447,USER
CLU00008,USR97614,USER
CLU00008,USR60430,USER
CLU00008,USR30377,USER
CLU00008,MCH2989,MERCHANT
CLU00008,MCH6744,MERCHANT
CLU00008,MCH7272,MERCHANT
CLU00008,MCH4548,MERCHANT
CLU00009,USR85460,USER
CLU00009,USR58920,USER
CLU00009,USR81642,USER
CLU00009,USR34340,USER
CLU00009,USR38048,USER
CLU00009,USR35725,USER
CLU00009,USR34667,USER
CLU00009,USR40894,USER
CLU00009,USR59309,USER
CLU00009,MCH1096,MERCHANT
CLU00009,MCH5461,MERCHANT
CLU00009,MCH1108,MERCHANT
CLU00010,USR49929,USER
CLU00010,USR19781,USER
CLU00010,USR67337,USER
CLU00010,USR13875,USER
CLU00010,USR79258,USER
CLU00010,USR48448,USER
CLU00010,USR97008,USER
CLU00010,USR54146,USER
CLU00010,MCH9219,MERCHANT
CLU00010,MCH6858,MERCHANT
CLU00010,MCH7800,MERCHANT
CLU00011,USR77102,USER
CLU00011,USR51358,USER
CLU00011,USR94279,USER
CLU00011,USR59422,USER
CLU00011,USR26808,USER
CLU00011,USR25423,USER
CLU00011,USR96561,USER
CLU00011,USR87265,USER
CLU00011,USR56128,USER
CLU00011,MCH4458,MERCHANT
CLU00011,MCH4435,MERCHANT
CLU00012,USR66093,USER
CLU00012,USR16198,USER
CLU00012,USR54134,USER
CLU00012,USR32626,USER
CLU00012,USR39677,USER
CLU00012,USR49201,USER
CLU00012,USR99647,USER
CLU00012,USR80852,USER
CLU00012,MCH9535,MERCHANT
CLU00012,MCH9763,MERCHANT
CLU00013,USR29314,USER
CLU00013,USR37810,USER
CLU00013,USR20191,USER
CLU00013,USR92027,USER
CLU00013,USR57602,USER
CLU00013,USR62336,USER
CLU00013,USR17377,USER
CLU00013,MCH6194,MERCHANT
CLU00013,MCH8936,MERCHANT
CLU00013,MCH3861,MERCHANT
CLU00014,USR48114,USER
CLU00014,USR43944,USER
CLU00014,USR21719,USER
CLU00014,USR24113,USER
CLU00014,USR86489,USER
CLU00014,USR18678,USER
CLU00014,USR51032,USER
CLU00014,MCH1625,MERCHANT
CLU00014,MCH4861,MERCHANT
CLU00014,MCH3883,MERCHANT
CLU00015,USR94122,USER
CLU00015,USR82916,USER
CLU00015,USR42244,USER
CLU00015,USR89209,USER
CLU00015,USR26802,USER
CLU00015,USR45882,USER
CLU00015,USR29307,USER
CLU00015,MCH1194,MERCHANT
CLU00015,MCH2149,MERCHANT
CLU00015,MCH4823,MERCHANT
CLU00016,USR50499,USER
CLU00016,USR72967,USER
CLU00016,USR31176,USER
CLU00016,USR46105,USER
CLU00016,USR11709,USER
CLU00016,USR27358,USER
CLU00016,MCH4468,MERCHANT
CLU00016,MCH9981,MERCHANT
CLU00016,MCH5073,MERCHANT
CLU00017,USR80226,USER
CLU00017,USR85850,USER
CLU00017,USR84923,USER
CLU00017,USR33485,USER
CLU00017,USR17179,USER
CLU00017,USR89128,USER
CLU00017,USR39732,USER
CLU00017,MCH8146,MERCHANT
CLU00017,MCH1302,MERCHANT
CLU00018,USR77471,USER
CLU00018,USR81492,USER
CLU00018,USR27616,USER
CLU00018,USR98403,USER
CLU00018,USR28543,USER
CLU00018,MCH6376,MERCHANT
CLU00018,MCH6481,MERCHANT
CLU00018,MCH8048,MERCHANT
CLU00018,MCH4871,MERCHANT
CLU00019,USR78762,USER
CLU00019,USR82829,USER
CLU00019,USR47092,USER
CLU00019,USR80317,USER
CLU00019,USR88056,USER
CLU00019,USR46058,USER
CLU00019,USR73126,USER
CLU00019,MCH2681,MERCHANT
CLU00019,MCH3226,MERCHANT
CLU00020,USR46934,USER
CLU00020,USR69143,USER
CLU00020,USR14434,USER
CLU00020,USR81279,USER
CLU00020,USR35035,USER
CLU00020,USR80550,USER
CLU00020,MCH5447,MERCHANT
CLU00020,MCH9263,MERCHANT
CLU00021,USR48089,USER
CLU00021,USR54221,USER
CLU00021,USR18716,USER
CLU00021,USR69525,USER
CLU00021,USR33647,USER
CLU00021,MCH5134,MERCHANT
CLU00021,MCH9506,MERCHANT
CLU00021,MCH5128,MERCHANT
CLU00022,USR92919,USER
CLU00022,USR22312,USER
CLU00022,USR96506,USER
CLU00022,USR29572,USER
CLU00022,USR35221,USER
CLU00022,USR31840,USER
CLU00022,USR33979,USER
CLU00022,MCH1971,MERCHANT
CLU00023,USR41056,USER
CLU00023,USR69802,USER
CLU00023,USR28520,USER
CLU00023,USR91419,USER
CLU00023,USR87663,USER
CLU00023,MCH5506,MERCHANT
CLU00023,MCH9314,MERCHANT
CLU00023,MCH3546,MERCHANT
CLU00024,USR50088,USER
CLU00024,USR51171,USER
CLU00024,USR81460,USER
CLU00024,USR60002,USER
CLU00024,USR30438,USER
CLU00024,MCH6365,MERCHANT
CLU00024,MCH3232,MERCHANT
CLU00024,MCH8937,MERCHANT
CLU00025,USR38915,USER
CLU00025,USR82247,USER
CLU00025,USR46746,USER
CLU00025,USR32936,USER
CLU00025,USR53634,USER
CLU00025,USR96933,USER
CLU00025,MCH4123,MERCHANT
CLU00025,MCH3163,MERCHANT
CLU00026,USR46748,USER
CLU00026,USR62985,USER
CLU00026,USR43566,USER
CLU00026,USR76678,USER
CLU00026,USR33761,USER
CLU00026,USR87510,USER
CLU00026,MCH6910,MERCHANT
CLU00026,MCH6765,MERCHANT
CLU00027,USR93851,USER
CLU00027,USR47360,USER
CLU00027,USR27942,USER
CLU00027,USR76948,USER
CLU00027,USR11035,USER
CLU00027,USR90418,USER
CLU00027,MCH7607,MERCHANT
CLU00028,USR30428,USER
CLU00028,USR91537,USER
CLU00028,USR13957,USER
CLU00028,USR25901,USER
CLU00028,USR53244,USER
CLU00028,USR58973,USER
CLU00028,MCH5761,MERCHANT
CLU00029,USR25449,USER
CLU00029,USR14678,USER
CLU00029,USR18758,USER
CLU00029,USR99468,USER
CLU00029,USR41847,USER
CLU00029,USR31831,USER
CLU00029,MCH9670,MERCHANT
CLU00030,USR68784,USER
CLU00030,USR17132,USER
CLU00030,USR37228,USER
CLU00030,USR68115,USER
CLU00030,USR99170,USER
CLU00030,USR74237,USER
CLU00030,MCH7304,MERCHANT
CLU00031,USR73685,USER
CLU00031,USR98804,USER
CLU00031,USR96080,USER
CLU00031,USR21561,USER
CLU00031,USR23478,USER
CLU00031,USR18509,USER
CLU00031,MCH5183,MERCHANT
CLU00032,USR75697,USER
CLU00032,USR30072,USER
CLU00032,USR83331,USER
CLU00032,USR18645,USER
CLU00032,USR65213,USER
CLU00032,MCH7392,MERCHANT
CLU00032,MCH4859,MERCHANT
CLU00033,USR76277,USER
CLU00033,USR28129,USER
CLU00033,USR85963,USER
CLU00033,USR75168,USER
CLU00033,MCH1556,MERCHANT
CLU00033,MCH2146,MERCHANT
CLU00033,MCH4515,MERCHANT
CLU00034,USR99537,USER
CLU00034,USR83861,USER
CLU00034,USR30317,USER
CLU00034,USR54642,USER
CLU00034,USR37372,USER
CLU00034,USR79947,USER
CLU00034,MCH8669,MERCHANT
CLU00035,USR72446,USER
CLU00035,USR35971,USER
CLU00035,USR75875,USER
CLU00035,USR32172,USER
CLU00035,USR37115,USER
CLU00035,USR99506,USER
CLU00035,MCH8846,MERCHANT
CLU00036,USR34532,USER
CLU00036,USR69826,USER
CLU00036,USR76483,USER
CLU00036,USR43482,USER
CLU00036,USR48182,USER
CLU00036,MCH9147,MERCHANT
CLU00036,MCH3885,MERCHANT
CLU00037,USR45154,USER
CLU00037,USR89489,USER
CLU00037,USR64046,USER
CLU00037,USR58796,USER
CLU00037,USR89486,USER
CLU00037,USR54693,USER
CLU00037,MCH7549,MERCHANT
CLU00038,USR52102,USER
CLU00038,USR56876,USER
CLU00038,USR92928,USER
CLU00038,USR87367,USER
CLU00038,USR98934,USER
CLU00038,USR74563,USER
CLU00038,MCH4434,MERCHANT
CLU00039,USR68978,USER
CLU00039,USR82933,USER
CLU00039,USR80974,USER
CLU00039,USR52464,USER
CLU00039,USR72072,USER
CLU00039,MCH4316,MERCHANT
CLU00039,MCH3068,MERCHANT
CLU00040,USR61546,USER
CLU00040,USR77021,USER
CLU00040,USR10094,USER
CLU00040,USR89084,USER
CLU00040,USR49870,USER
CLU00040,MCH1173,MERCHANT
CLU00041,USR67301,USER
CLU00041,USR31098,USER
CLU00041,USR60486,USER
CLU00041,USR10156,USER
CLU00041,USR62007,USER
CLU00041,MCH1421,MERCHANT
CLU00042,USR70806,USER
CLU00042,USR91577,USER
CLU00042,USR43414,USER
CLU00042,USR12361,USER
CLU00042,USR10193,USER
CLU00042,MCH9375,MERCHANT
CLU00043,USR89295,USER
CLU00043,USR10452,USER
CLU00043,USR10295,USER
CLU00043,USR13367,USER
CLU00043,USR48691,USER
CLU00043,MCH7985,MERCHANT
CLU00044,USR96569,USER
CLU00044,USR98710,USER
CLU00044,USR10603,USER
CLU00044,USR10667,USER
CLU00044,USR32020,USER
CLU00044,MCH4367,MERCHANT
CLU00045,USR53408,USER
CLU00045,USR73349,USER
CLU00045,USR10824,USER
CLU00045,USR74798,USER
CLU00045,MCH5896,MERCHANT
CLU00045,MCH8134,MERCHANT
CLU00046,USR55178,USER
