merchant_id_normalized,transaction_count,total_transaction_amount,avg_transaction_amount,median_transaction_amount,amount_std,successful_transaction_count,failed_transaction_count,pending_transaction_count,success_rate,failure_rate,pending_rate,chargeback_transaction_count,chargeback_rate,total_disputed_amount,disputed_amount_ratio,avg_disputed_amount,median_disputed_amount,max_disputed_amount,dispute_after_7_days_count,dispute_after_7_days_rate,unique_user_count,unique_category_count,negative_transaction_count,missing_utr_count,merchant_status,merchant_category,mcc,merchant_duplicate_entity_flag
MCH1000,1,1946.18,1946.18,1946.18,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1001,4,49974.0,12493.5,12658.61,4211.98384241915,3,1,0,0.75,0.25,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,1,0,0,ACTIVE,KIRANA,misc,False
MCH1003,2,18029.879999999997,9014.939999999999,9014.939999999999,11708.599352006198,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ENABLED,FASHION,5699,False
MCH1004,2,9870.740000000002,4935.370000000001,4935.370000000001,5126.156468076253,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ACTIVE,TRAVEL,4131,False
MCH1005,2,14599.21,7299.605,7299.605,2142.5971866055447,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ACTIVE,MEDICAL_STORE,5912.0,False
MCH1006,2,13964.060000000001,6982.030000000001,6982.030000000001,1812.7955127923294,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1007,3,8735.779999999999,2911.9266666666663,3323.23,20544.273144315262,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,3545.44,0.40585271149227664,3545.44,3545.44,3545.44,1,1.0,3,1,1,0,DISABLED,HOTEL_LODGING,7011,True
MCH1008,3,31298.129999999997,10432.71,5487.42,10401.918165276056,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,2483.0,0.07933381323420921,2483.0,2483.0,2483.0,1,1.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1009,2,32937.47,16468.735,16468.735,7983.002214358329,1,0,1,0.5,0.0,0.5,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,1,LIVE,BUS/TAXI,UNKNOWN,False
MCH1011,4,41529.21,10382.3025,7987.415,9425.343238398535,4,0,0,1.0,0.0,0.0,1,0.25,1769.97,0.04261988128355921,1769.97,1769.97,1769.97,1,1.0,4,1,0,0,ACTIVE,GROCERIES,5411.0,True
MCH1012,2,15718.07,7859.035,7859.035,5988.876238598523,1,1,0,0.5,0.5,0.0,1,0.5,13142.13,0.8361160116986373,13142.13,13142.13,13142.13,1,1.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1013,1,4742.13,4742.13,4742.13,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1014,1,17338.71,17338.71,17338.71,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,LIVE,DEPARTMENT STORE,5311,True
MCH1015,6,45381.28,7563.546666666666,8267.42,8286.970071182028,6,0,0,1.0,0.0,0.0,1,0.16666666666666666,2727.04,0.06009173826740894,2727.04,2727.04,2727.04,1,1.0,6,1,1,1,ACTIVE,HOTELS,7011,False
MCH1016,2,30550.47,15275.235,15275.235,9876.478610884042,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,1,SUSPENDED,BOOKS_STATIONERY,5942,True
MCH1017,1,18198.36,18198.36,18198.36,,1,0,0,1.0,0.0,0.0,1,1.0,1918.51,0.10542213693981216,1918.51,1918.51,1918.51,1,1.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1019,3,32130.27,10710.09,5416.16,11975.530613626272,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,LIVE,CLOTHING,5699,False
MCH1020,2,22912.47,11456.235,11456.235,2850.948475726981,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ENABLED,TRANSPRT,4131,False
MCH1021,3,61852.69,20617.563333333335,20803.23,3604.5880601440904,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ENABLED,GROCERY,5411,True
MCH1022,2,35774.61,17887.305,17887.305,4494.561620052616,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ACTIVE,OTHER,UNKNOWN,False
MCH1023,3,36175.56,12058.519999999999,8676.72,8145.796315775395,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,4001.57,0.11061528833278601,4001.57,4001.57,4001.57,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1024,2,22788.01,11394.005,11394.005,6651.13830772222,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1025,4,57906.43,14476.6075,12757.695,7022.697160998164,3,1,0,0.75,0.25,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1026,4,45325.67,11331.4175,10279.795,6670.125750365705,3,1,0,0.75,0.25,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
