merchant_id,retrospective_risk_score,risk_level,transaction_count,total_transaction_amount,chargeback_transaction_count,chargeback_rate,disputed_amount_ratio,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3,explanation
MCH1000,0.0,LOW,1,1946.18,0,0.0,0.0,,,,No risk signals identified.
MCH1001,3.3333333333333335,LOW,4,49974.0,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1003,0.0,LOW,2,18029.879999999997,0,0.0,0.0,,,,No risk signals identified.
MCH1004,0.0,LOW,2,9870.740000000002,0,0.0,0.0,,,,No risk signals identified.
MCH1005,3.3333333333333335,LOW,2,14599.21,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1006,0.0,LOW,2,13964.06,0,0.0,0.0,,,,No risk signals identified.
MCH1007,24.541989635982393,LOW,3,8735.779999999999,1,0.3333333333333333,0.4058527114922766,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1008,19.10000799834793,LOW,3,31298.129999999997,1,0.3333333333333333,0.0793338132342092,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1009,0.0,LOW,2,32937.47,0,0.0,0.0,,,,No risk signals identified.
MCH1011,22.058219584079094,LOW,4,41529.21,1,0.25,0.0426198812835592,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1012,27.06795568554041,LOW,2,15718.07,1,0.5,0.8361160116986373,merchant_disputed_amount_ratio,merchant_chargeback_rate,merchant_delayed_dispute_rate,"Elevated risk driven primarily by merchant disputed amount ratio, combined with merchant chargeback rate and merchant delayed dispute rate."
MCH1013,0.0,LOW,1,4742.13,0,0.0,0.0,,,,No risk signals identified.
MCH1014,0.0,LOW,1,17338.71,0,0.0,0.0,,,,No risk signals identified.
MCH1015,24.817363100020618,LOW,6,45381.28,1,0.1666666666666666,0.0600917382674089,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1016,0.0,LOW,2,30550.47,0,0.0,0.0,,,,No risk signals identified.
MCH1017,11.696789649665623,LOW,1,18198.36,1,1.0,0.1054221369398121,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant disputed amount ratio."
MCH1019,3.3333333333333335,LOW,3,32130.27,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1020,0.0,LOW,2,22912.47,0,0.0,0.0,,,,No risk signals identified.
MCH1021,0.0,LOW,3,61852.69,0,0.0,0.0,,,,No risk signals identified.
MCH1022,3.3333333333333335,LOW,2,35774.61,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1023,9.621365916657544,LOW,3,36175.56,1,0.3333333333333333,0.110615288332786,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1024,0.0,LOW,2,22788.01,0,0.0,0.0,,,,No risk signals identified.
MCH1025,3.3333333333333335,LOW,4,57906.43,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1026,3.3333333333333335,LOW,4,45325.67,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1027,0.0,LOW,1,21815.44,0,0.0,0.0,,,,No risk signals identified.
MCH1028,0.0,LOW,1,5284.29,0,0.0,0.0,,,,No risk signals identified.
MCH1029,0.0,LOW,1,1513.0,0,0.0,0.0,,,,No risk signals identified.
MCH1030,3.3333333333333335,LOW,3,4072.67,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1031,0.0,LOW,1,21790.08,0,0.0,0.0,,,,No risk signals identified.
MCH1032,3.3333333333333335,LOW,3,44604.15,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1033,0.0,LOW,3,42284.92,0,0.0,0.0,,,,No risk signals identified.
MCH1034,3.3333333333333335,LOW,2,9679.1,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1035,0.0,LOW,3,39992.83,0,0.0,0.0,,,,No risk signals identified.
MCH1036,18.6991647337442,LOW,3,33640.770000000004,1,0.3333333333333333,0.0552832173579855,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1037,0.0,LOW,3,47725.25,0,0.0,0.0,,,,No risk signals identified.
MCH1038,0.0,LOW,3,52771.18,0,0.0,0.0,,,,No risk signals identified.
MCH1039,3.3333333333333335,LOW,3,29255.44,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1040,0.0,LOW,1,4889.06,0,0.0,0.0,,,,No risk signals identified.
MCH1041,15.67907689489228,LOW,6,35096.200000000004,2,0.3333333333333333,0.0977801015494554,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1042,0.0,LOW,3,26085.81,0,0.0,0.0,,,,No risk signals identified.
MCH1043,13.799910479550487,LOW,5,79534.9,1,0.2,0.2167967772638175,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1044,6.666666666666667,LOW,3,34051.96,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1045,8.614479470338903,LOW,2,24683.96,1,0.5,0.0753031523305012,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1046,0.0,LOW,1,6901.43,0,0.0,0.0,,,,No risk signals identified.
MCH1047,3.3333333333333335,LOW,2,16082.83,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1048,0.0,LOW,1,22101.1,0,0.0,0.0,,,,No risk signals identified.
MCH1049,0.0,LOW,3,48368.15,0,0.0,0.0,,,,No risk signals identified.
MCH1050,0.0,LOW,1,556.07,0,0.0,0.0,,,,No risk signals identified.
MCH1051,3.3333333333333335,LOW,1,19086.9,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1052,0.0,LOW,5,62222.29,0,0.0,0.0,,,,No risk signals identified.
MCH1053,3.3333333333333335,LOW,4,60112.0,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1054,0.0,LOW,4,65716.24,0,0.0,0.0,,,,No risk signals identified.
MCH1055,0.0,LOW,2,27225.28,0,0.0,0.0,,,,No risk signals identified.
MCH1056,0.0,LOW,2,25903.17,0,0.0,0.0,,,,No risk signals identified.
MCH1057,3.3333333333333335,LOW,3,-3004.0,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1058,25.637674903733675,LOW,4,53848.59,1,0.25,0.0536953706680156,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant failure rate."
MCH1059,0.0,LOW,3,45995.04,0,0.0,0.0,,,,No risk signals identified.
MCH1060,0.0,LOW,1,14301.09,0,0.0,0.0,,,,No risk signals identified.
MCH1061,9.88122309989572,LOW,3,40782.06,1,0.3333333333333333,0.1262067193270766,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1062,0.0,LOW,2,16069.170000000002,0,0.0,0.0,,,,No risk signals identified.
MCH1063,3.3333333333333335,LOW,2,37797.42,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1064,24.85594688970881,LOW,4,69917.23,1,0.25,0.0185176100368964,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant failure rate."
MCH1065,11.186535452880177,LOW,1,22612.8,1,1.0,0.013576381518432,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant disputed amount ratio."
MCH1066,3.3333333333333335,LOW,3,32487.62,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1067,0.0,LOW,1,7864.73,0,0.0,0.0,,,,No risk signals identified.
