merchant_id_normalized,transaction_count,total_transaction_amount,successful_transaction_count,failed_transaction_count,chargeback_count,total_disputed_amount,avg_transaction_amount,chargeback_rate,disputed_amount_ratio,success_rate,failure_rate,merchant_status_clean,merchant_category_clean,mcc_clean,merchant_duplicate_entity_flag
MCH1000,1,1946.18,1,0,0.0,0.0,1946.18,0.0,0.0,1.0,0.0,,,,
MCH1001,4,49974.0,3,1,0.0,0.0,12493.5,0.0,0.0,0.75,0.25,ACTIVE,KIRANA,misc,False
MCH1003,2,18029.879999999997,2,0,0.0,0.0,9014.939999999999,0.0,0.0,1.0,0.0,ENABLED,FASHION,5699,False
MCH1004,2,9870.740000000002,2,0,0.0,0.0,4935.370000000001,0.0,0.0,1.0,0.0,ACTIVE,TRAVEL,4131,False
MCH1005,2,14599.21,1,1,0.0,0.0,7299.605,0.0,0.0,0.5,0.5,ACTIVE,MEDICAL_STORE,5912.0,False
MCH1006,2,13964.060000000001,2,0,0.0,0.0,6982.030000000001,0.0,0.0,1.0,0.0,,,,
MCH1007,3,8735.779999999999,3,0,1.0,3545.44,2911.9266666666663,0.3333333333333333,0.40585271149227664,1.0,0.0,DISABLED,HOTEL_LODGING,7011,True
MCH1008,3,31298.129999999997,3,0,1.0,2483.0,10432.71,0.3333333333333333,0.07933381323420921,1.0,0.0,,,,
MCH1009,2,32937.47,1,0,0.0,0.0,16468.735,0.0,0.0,0.5,0.0,LIVE,BUS/TAXI,,False
MCH1011,4,41529.21,4,0,1.0,1769.97,10382.3025,0.25,0.04261988128355921,1.0,0.0,ACTIVE,GROCERIES,5411.0,True
MCH1012,2,15718.07,1,1,1.0,13142.13,7859.035,0.5,0.8361160116986373,0.5,0.5,,,,
MCH1013,1,4742.13,1,0,0.0,0.0,4742.13,0.0,0.0,1.0,0.0,,,,
MCH1014,1,17338.71,0,0,0.0,0.0,17338.71,0.0,0.0,0.0,0.0,LIVE,DEPARTMENT STORE,5311,True
MCH1015,6,45381.28,6,0,1.0,2727.04,7563.546666666666,0.16666666666666666,0.06009173826740894,1.0,0.0,ACTIVE,HOTELS,7011,False
MCH1016,2,30550.47,2,0,0.0,0.0,15275.235,0.0,0.0,1.0,0.0,SUSPENDED,BOOKS_STATIONERY,5942,True
MCH1017,1,18198.36,1,0,1.0,1918.51,18198.36,1.0,0.10542213693981216,1.0,0.0,,,,
MCH1019,3,32130.27,2,1,0.0,0.0,10710.09,0.0,0.0,0.6666666666666666,0.3333333333333333,LIVE,CLOTHING,5699,False
MCH1020,2,22912.47,2,0,0.0,0.0,11456.235,0.0,0.0,1.0,0.0,ENABLED,TRANSPRT,4131,False
MCH1021,3,61852.69,3,0,0.0,0.0,20617.563333333335,0.0,0.0,1.0,0.0,ENABLED,GROCERY,5411,True
MCH1022,2,35774.61,1,1,0.0,0.0,17887.305,0.0,0.0,0.5,0.5,ACTIVE,OTHER,,False
MCH1023,3,36175.56,3,0,1.0,4001.57,12058.519999999999,0.3333333333333333,0.11061528833278601,1.0,0.0,,,,
MCH1024,2,22788.01,2,0,0.0,0.0,11394.005,0.0,0.0,1.0,0.0,,,,
MCH1025,4,57906.43,3,1,0.0,0.0,14476.6075,0.0,0.0,0.75,0.25,,,,
MCH1026,4,45325.67,3,1,0.0,0.0,11331.4175,0.0,0.0,0.75,0.25,,,,
MCH1027,1,21815.44,0,0,0.0,0.0,21815.44,0.0,0.0,0.0,0.0,,,,
MCH1028,1,5284.29,1,0,0.0,0.0,5284.29,0.0,0.0,1.0,0.0,,,,
MCH1029,1,1513.0,1,0,0.0,0.0,1513.0,0.0,0.0,1.0,0.0,,,,
MCH1030,3,4072.67,2,1,0.0,0.0,1357.5566666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,,,,
MCH1031,1,21790.08,1,0,0.0,0.0,21790.08,0.0,0.0,1.0,0.0,,,,
MCH1032,3,44604.15,2,1,0.0,0.0,14868.050000000001,0.0,0.0,0.6666666666666666,0.3333333333333333,ENABLED,HOTELS,7011,True
MCH1033,3,42284.92,3,0,0.0,0.0,14094.973333333333,0.0,0.0,1.0,0.0,ACTIVE,PHONE SERVICE,4814,True
MCH1034,2,9679.1,1,1,0.0,0.0,4839.55,0.0,0.0,0.5,0.5,ENABLED,HOSPITALITY,7011,False
MCH1035,3,39992.83,3,0,0.0,0.0,13330.943333333335,0.0,0.0,1.0,0.0,ACTIVE,RESTAURANTS,5812.0,False
MCH1036,3,33640.770000000004,2,0,1.0,1859.77,11213.590000000002,0.3333333333333333,0.055283217357985553,0.6666666666666666,0.0,,,,
MCH1037,3,47725.25,3,0,0.0,0.0,15908.416666666666,0.0,0.0,1.0,0.0,,,,
MCH1038,3,52771.18,3,0,0.0,0.0,17590.393333333333,0.0,0.0,1.0,0.0,,,,
MCH1039,3,29255.440000000002,2,1,0.0,0.0,9751.813333333334,0.0,0.0,0.6666666666666666,0.3333333333333333,ACTIVE,TELECOM,4814,True
MCH1040,1,4889.06,1,0,0.0,0.0,4889.06,0.0,0.0,1.0,0.0,LIVE,KIRANA,5411,True
MCH1041,6,35096.200000000004,6,0,2.0,3431.71,5849.366666666668,0.3333333333333333,0.09778010154945549,1.0,0.0,ACTIVE,FASHION,,False
MCH1042,3,26085.81,2,0,0.0,0.0,8695.27,0.0,0.0,0.6666666666666666,0.0,,,,
MCH1043,5,79534.9,5,0,1.0,17242.91,15906.98,0.2,0.21679677726381752,1.0,0.0,,,,
MCH1044,3,34051.96,0,2,0.0,0.0,11350.653333333334,0.0,0.0,0.0,0.6666666666666666,ACTIVE,RETAIL,5311,False
MCH1045,2,24683.96,2,0,1.0,1858.78,12341.98,0.5,0.07530315233050126,1.0,0.0,,,,
MCH1046,1,6901.43,1,0,0.0,0.0,6901.43,0.0,0.0,1.0,0.0,,,,
MCH1047,2,16082.83,1,1,0.0,0.0,8041.415,0.0,0.0,0.5,0.5,ENABLED,TELECOM,4814,True
MCH1048,1,22101.1,1,0,0.0,0.0,22101.1,0.0,0.0,1.0,0.0,,,,
MCH1049,3,48368.15,3,0,0.0,0.0,16122.716666666667,0.0,0.0,1.0,0.0,,,,
MCH1050,1,556.07,1,0,0.0,0.0,556.07,0.0,0.0,1.0,0.0,ACTIVE,APPAREL,5699,False
MCH1051,1,19086.9,0,1,0.0,0.0,19086.9,0.0,0.0,0.0,1.0,,,,
MCH1052,5,62222.29,5,0,0.0,0.0,12444.458,0.0,0.0,1.0,0.0,,,,
MCH1053,4,60112.0,3,1,0.0,0.0,15028.0,0.0,0.0,0.75,0.25,ENABLED,MOBILE RECHARGE,4814,False
MCH1054,4,65716.24,4,0,0.0,0.0,16429.06,0.0,0.0,1.0,0.0,ACTIVE,DEPARTMENT STORE,5311,False
MCH1055,2,27225.28,2,0,0.0,0.0,13612.64,0.0,0.0,1.0,0.0,ENABLED,RETAIL,5311,False
MCH1056,2,25903.170000000002,2,0,0.0,0.0,12951.585000000001,0.0,0.0,1.0,0.0,ACTIVE,DEPARTMENT STORES,5311,False
MCH1057,3,-3004.0,2,1,0.0,0.0,-1001.3333333333334,0.0,0.0,0.6666666666666666,0.3333333333333333,,,,
MCH1058,4,53848.59,3,1,1.0,2891.42,13462.1475,0.25,0.05369537066801564,0.75,0.25,ACTIVE,DEPT_STORE,5311,False
MCH1059,3,45995.04,3,0,0.0,0.0,15331.68,0.0,0.0,1.0,0.0,ACTIVE,PHONE SERVICE,4814,False
MCH1060,1,14301.09,1,0,0.0,0.0,14301.09,0.0,0.0,1.0,0.0,ENABLED,TRANSPORT,4131,True
MCH1061,3,40782.06,3,0,1.0,5146.97,13594.019999999999,0.3333333333333333,0.12620671932707667,1.0,0.0,,,,
MCH1062,2,16069.170000000002,1,0,0.0,0.0,8034.585000000001,0.0,0.0,0.5,0.0,,,,
MCH1063,2,37797.42,1,1,0.0,0.0,18898.71,0.0,0.0,0.5,0.5,ENABLED,RETAIL OTHER,5999,False
MCH1064,4,69917.23,1,1,1.0,1294.7,17479.3075,0.25,0.018517610036896486,0.25,0.25,ACTIVE,EATING PLACE,5812,True
MCH1065,1,22612.8,1,0,1.0,307.0,22612.8,1.0,0.013576381518432039,1.0,0.0,,,,
MCH1066,3,32487.62,2,1,0.0,0.0,10829.206666666667,0.0,0.0,0.6666666666666666,0.3333333333333333,,,,
MCH1067,1,7864.73,1,0,0.0,0.0,7864.73,0.0,0.0,1.0,0.0,,,,
MCH1068,3,26408.800000000003,2,0,0.0,0.0,8802.933333333334,0.0,0.0,0.6666666666666666,0.0,LIVE,OTHER,,False
MCH1069,5,100072.17,4,0,0.0,0.0,20014.434,0.0,0.0,0.8,0.0,,,,
MCH1070,4,38695.4,4,0,1.0,687.82,9673.85,0.25,0.017775239434144628,1.0,0.0,ACTIVE,MISC RETAIL,5999,False
MCH1071,5,40513.8,5,0,1.0,-3746.75,8102.76,0.2,-0.09248083369123607,1.0,0.0,ACTIVE,HOTEL,7011,True
MCH1072,3,54541.55,3,0,1.0,0.0,18180.516666666666,0.3333333333333333,0.0,1.0,0.0,DISABLED,RESTAURANTS,5812,False
MCH1073,6,14997.510000000002,4,1,0.0,0.0,2499.5850000000005,0.0,0.0,0.6666666666666666,0.16666666666666666,SUSPENDED,MEDICAL_STORE,misc,False
MCH1074,1,6577.73,1,0,0.0,0.0,6577.73,0.0,0.0,1.0,0.0,,,,
MCH1075,1,11231.45,1,0,0.0,0.0,11231.45,0.0,0.0,1.0,0.0,ACTIVE,MEDICAL,5912,True
MCH1076,1,17918.0,1,0,0.0,0.0,17918.0,0.0,0.0,1.0,0.0,,,,
MCH1077,2,34499.2,2,0,1.0,-2395.8,17249.6,0.5,-0.06944508858176422,1.0,0.0,ACTIVE,KIRANA,5411,True
MCH1078,4,44634.65,4,0,1.0,1246.38,11158.6625,0.25,0.027924045556535115,1.0,0.0,,,,
MCH1079,4,52637.75,4,0,3.0,7383.24,13159.4375,0.75,0.14026511391539342,1.0,0.0,ACTIVE,MOBILE RECHARGE,,False
MCH1080,6,88850.1,5,0,2.0,1814.0,14808.35,0.3333333333333333,0.02041640921056926,0.8333333333333334,0.0,,,,
MCH1081,3,33718.899999999994,2,1,0.0,0.0,11239.633333333331,0.0,0.0,0.6666666666666666,0.3333333333333333,ACTIVE,FOOD_SERVICES,5812,False
MCH1082,1,7026.5,1,0,0.0,0.0,7026.5,0.0,0.0,1.0,0.0,ACTIVE,HOTEL,7011.0,False
MCH1083,3,46991.28,3,0,1.0,0.0,15663.76,0.3333333333333333,0.0,1.0,0.0,DISABLED,FOOD,5812,True
MCH1084,1,22882.8,1,0,0.0,0.0,22882.8,0.0,0.0,1.0,0.0,ACTIVE,OTHER,5999.0,False
MCH1085,1,24345.27,0,0,0.0,0.0,24345.27,0.0,0.0,0.0,0.0,,,,
