cluster_id,n_users,n_merchants,n_transactions,transaction_amount,chargeback_count,chargebacked_transaction_count,disputed_amount,average_user_risk,average_merchant_risk,max_user_risk,max_merchant_risk,cluster_chargeback_rate,disputed_amount_ratio,temporal_concentration,relationship_concentration,cluster_risk_score,risk_level,top_signals,explanation
CLU00604,1,1,1,45.69,2,1,1246.53,9.3333,100.0,9.3333,100.0,1.0,27.2823,0.0,0.1,81.0,HIGH,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 2728.2%."
CLU00640,1,1,1,237.26,1,1,2741.61,13.3333,75.3072,13.3333,75.3072,1.0,11.5553,0.0,0.1,69.8882,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 1155.5%."
CLU00614,1,1,1,3327.0,1,1,33975.77,9.3333,64.5119,9.3333,64.5119,1.0,10.2121,0.0,0.1,65.0303,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 1021.2%."
CLU00559,2,1,2,6114.09,2,2,9753.64,13.3333,39.9475,13.3333,39.9475,1.0,1.5953,0.5,0.1,58.9764,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 159.5%."
CLU00600,1,1,1,839.58,2,1,5814.0,16.0,49.5827,16.0,49.5827,1.0,6.9249,0.0,0.1,58.3122,MEDIUM,elevated_avg_user_risk|elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_user_risk, elevated_avg_merchant_risk, high_cluster_chargeback_rate. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 692.5%."
CLU00436,2,1,2,3649.47,1,1,12071.05,6.6667,51.1957,13.3333,51.1957,0.5,3.3076,0.5,0.1,54.0381,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 330.8%."
CLU00461,2,1,2,19604.76,2,2,12187.4,17.3333,35.7962,17.3333,35.7962,1.0,0.6217,0.5,0.1,51.4331,MEDIUM,elevated_avg_user_risk|elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_user_risk, elevated_avg_merchant_risk, high_cluster_chargeback_rate. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 62.2%."
CLU00630,1,1,1,2212.67,1,1,9215.86,13.3333,34.2502,13.3333,34.2502,1.0,4.165,0.0,0.1,51.4126,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 416.5%."
CLU00653,1,1,1,3565.73,1,1,16936.0,9.3333,34.1648,9.3333,34.1648,1.0,4.7497,0.0,0.1,51.3741,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 475.0%."
CLU00204,3,1,3,28916.8,2,2,25248.56,8.8889,40.108,13.3333,40.108,0.6667,0.8731,0.3333,0.1,48.8121,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 87.3%."
CLU00196,3,1,3,46458.83,2,2,44450.57,7.5556,36.5018,13.3333,36.5018,0.6667,0.9568,0.3333,0.1,48.4437,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 95.7%."
CLU00364,2,1,2,16699.02,1,1,14485.22,4.6667,39.111,9.3333,39.111,0.5,0.8674,0.5,0.1,46.6114,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 86.7%."
CLU00136,4,1,4,62436.96,2,2,19346.73,6.6667,62.6319,13.3333,62.6319,0.5,0.3099,0.25,0.1,46.3322,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 4 user(s) and 1 merchant(s) with 4 transaction(s), chargeback rate 50.0%, disputed amount ratio 31.0%."
CLU00425,2,1,2,12176.15,1,1,8825.16,4.6667,42.4529,9.3333,42.4529,0.5,0.7248,0.5,0.1,45.9756,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 72.5%."
CLU00627,1,1,1,19571.0,1,1,26207.56,17.3333,21.8839,17.3333,21.8839,1.0,1.3391,0.0,0.1,45.8478,MEDIUM,elevated_avg_user_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_user_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 133.9%."
CLU00622,1,1,1,16342.48,2,1,30866.46,9.3333,18.2707,9.3333,18.2707,1.0,1.8887,0.0,0.1,44.2218,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 188.9%."
CLU00610,1,1,1,617.0,1,1,1122.85,9.3333,17.8881,9.3333,17.8881,1.0,1.8199,0.0,0.1,44.0496,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 182.0%."
