txn_id,transaction_date,amount_abs,transaction_time_risk_score,transaction_time_risk_level,retrospective_risk_score,retrospective_risk_level,explanation,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3
TXN00000039,2026-01-01,17108.98,0.0,LOW,8.0,LOW,No risk signals identified.,,,
TXN00000207,2026-01-01,2545.77,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000235,2026-01-01,4889.12,0.0,LOW,26.025227235452935,LOW,No risk signals identified.,,,
TXN00000298,2026-01-01,5403.37,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000392,2026-01-01,10321.32,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000471,2026-01-01,313.74,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000499,2026-01-01,24360.13,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000539,2026-01-01,11269.1,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000552,2026-01-01,21306.02,15.0,LOW,0.0,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00000680,2026-01-01,21639.02,15.0,LOW,14.591423830238476,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00000729,2026-01-01,5049.0,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00000792,2026-01-01,14659.88,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00000896,2026-01-01,5132.56,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001112,2026-01-01,5618.77,25.0,LOW,0.0,LOW,Elevated risk driven primarily by kyc rejected unverified.,kyc_rejected_unverified,,
TXN00001270,2026-01-01,7298.65,0.0,LOW,1.6666666666666667,LOW,No risk signals identified.,,,
TXN00001401,2026-01-01,4184.38,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001484,2026-01-01,154.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001637,2026-01-01,9988.9,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001676,2026-01-01,7623.93,0.0,LOW,26.902440050895148,LOW,No risk signals identified.,,,
TXN00001896,2026-01-01,18329.45,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00002098,2026-01-01,15868.21,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00002165,2026-01-01,11787.47,0.0,LOW,14.784058485749533,LOW,No risk signals identified.,,,
TXN00002176,2026-01-01,20927.66,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00002581,2026-01-01,3081.79,0.0,LOW,25.599510774078006,LOW,No risk signals identified.,,,
TXN00002623,2026-01-01,10851.1,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003091,2026-01-01,11261.85,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00003346,2026-01-01,17912.76,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00003394,2026-01-01,8139.0,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
