source,target,transaction_count,total_amount,avg_amount,first_transaction_time,last_transaction_time,chargeback_count,disputed_amount,chargebacked_transaction_count,relationship_duration_days,transaction_frequency_per_day,edge_type
USR10001,MCH7754,1,1720.78,1720.78,2026-01-05 09:33:52,2026-01-05 09:33:52,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10006,MCH5742,1,8445.34,8445.34,2026-03-06 22:13:12,2026-03-06 22:13:12,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10007,MCH2501,1,14075.13,14075.13,2026-03-13 14:46:36,2026-03-13 14:46:36,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10007,MCH8176,1,12698.2,12698.2,2026-02-11 00:00:00,2026-02-11 00:00:00,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10011,MCH6493,1,8691.46,8691.46,2026-01-21 09:02:39,2026-01-21 09:02:39,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10012,MCH9499,1,11874.48,11874.48,2026-02-14 08:17:44,2026-02-14 08:17:44,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10017,MCH3949,1,16402.16,16402.16,2026-02-19 06:23:05,2026-02-19 06:23:05,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10027,MCH7654,1,18054.43,18054.43,2026-01-22 11:02:28,2026-01-22 11:02:28,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10032,MCH3474,1,24876.37,24876.37,2026-01-14 10:46:49,2026-01-14 10:46:49,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10035,MCH7111,1,13610.91,13610.91,2026-01-20 07:50:18,2026-01-20 07:50:18,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10044,MCH1264,1,9096.65,9096.65,2026-02-20 18:00:20,2026-02-20 18:00:20,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10046,MCH2198,1,1094.88,1094.88,2026-03-26 00:00:00,2026-03-26 00:00:00,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10055,MCH4138,1,13414.9,13414.9,2026-02-16 00:00:00,2026-02-16 00:00:00,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10060,MCH9608,1,3756.23,3756.23,2026-03-23 00:00:00,2026-03-23 00:00:00,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10061,MCH7854,1,5690.29,5690.29,2026-01-31 19:19:38,2026-01-31 19:19:38,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10064,MCH5224,1,6814.96,6814.96,2026-02-27 11:12:36,2026-02-27 11:12:36,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10069,MCH7948,1,7005.63,7005.63,2026-01-01 09:34:36,2026-01-01 09:34:36,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10071,MCH1139,1,14301.02,14301.02,2026-03-19 11:30:56,2026-03-19 11:30:56,1.0,9500.5,1,0.0,1.0,TRANSACTED_WITH
USR10074,MCH6217,1,8987.19,8987.19,2026-01-10 15:22:20,2026-01-10 15:22:20,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10074,MCH7343,1,24683.53,24683.53,2026-02-18 03:18:12,2026-02-18 03:18:12,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10075,MCH1278,1,6711.68,6711.68,2026-02-16 03:59:45,2026-02-16 03:59:45,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10078,MCH9972,1,13714.99,13714.99,2026-01-27 08:55:26,2026-01-27 08:55:26,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10082,MCH3237,1,22723.1,22723.1,2026-03-14 13:18:15,2026-03-14 13:18:15,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10085,MCH8082,1,9473.8,9473.8,2026-03-27 02:29:45,2026-03-27 02:29:45,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10085,MCH9212,1,6766.88,6766.88,2026-02-21 02:06:58,2026-02-21 02:06:58,0.0,0.0,0,0.0,1.0,TRANSACTED_WITH
USR10086,MCH2137,1,12874.26,12874.26,2026-02-05 05:09:21,2026-02-05 05:09:21,1.0,6720.23,1,0.0,1.0,TRANSACTED_WITH
