user_id_normalized,transaction_count,total_transaction_amount,avg_transaction_amount,median_transaction_amount,amount_std,successful_transaction_count,failed_transaction_count,pending_transaction_count,success_rate,failure_rate,pending_rate,chargeback_transaction_count,chargeback_rate,total_disputed_amount,avg_disputed_amount,median_disputed_amount,max_disputed_amount,dispute_after_7_days_count,dispute_after_7_days_rate,unique_merchant_count,unique_category_count,negative_transaction_count,missing_utr_count,kyc_status,kyc_match_flag,kyc_duplicate_entity_flag
USR10001,1,1720.78,1720.78,1720.78,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,VERIFIED,True,False
USR10006,1,8445.34,8445.34,8445.34,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10007,2,26773.33,13386.665,13386.665,973.6365402191925,2,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,2,2,0,0,VERIFIED,True,False
USR10011,1,8691.46,8691.46,8691.46,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10012,1,11874.48,11874.48,11874.48,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10017,1,16402.16,16402.16,16402.16,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10027,1,18054.43,18054.43,18054.43,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,KYC_DONE,True,False
USR10032,1,24876.37,24876.37,24876.37,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10035,1,13610.91,13610.91,13610.91,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10044,1,9096.65,9096.65,9096.65,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10046,1,1094.88,1094.88,1094.88,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,VERIFIED,True,False
USR10055,1,13414.9,13414.9,13414.9,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10060,1,3756.23,3756.23,3756.23,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10061,1,5690.29,5690.29,5690.29,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10064,1,6814.96,6814.96,6814.96,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,PENDING,True,False
USR10069,1,7005.63,7005.63,7005.63,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,VERIFIED,True,False
USR10071,1,14301.02,14301.02,14301.02,,0,0,1,0.0,0.0,1.0,1,1.0,9500.5,9500.5,9500.5,9500.5,1,1.0,1,0,0,0,UNKNOWN,False,False
USR10074,2,33670.72,16835.36,16835.36,11098.988453809652,1,1,0,0.5,0.5,0.0,0,0.0,0.0,,,,0,0.0,2,1,0,0,UNKNOWN,False,False
USR10075,1,6711.68,6711.68,6711.68,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10078,1,13714.99,13714.99,13714.99,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,KYC_DONE,True,False
USR10082,1,22723.1,22723.1,22723.1,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,1,UNKNOWN,False,False
USR10085,2,16240.68,8120.34,8120.34,1914.0814881294891,1,0,1,0.5,0.0,0.5,0,0.0,0.0,,,,0,0.0,2,1,0,1,VERIFIED,True,False
USR10086,1,12874.26,12874.26,12874.26,,1,0,0,1.0,0.0,0.0,1,1.0,6720.23,6720.23,6720.23,6720.23,0,0.0,1,1,0,0,REJECTED,True,False
USR10088,1,3809.97,3809.97,3809.97,,1,0,0,1.0,0.0,0.0,1,1.0,-2911.37,-2911.37,-2911.37,-2911.37,1,1.0,1,0,0,0,VERIFIED,True,True
USR10094,1,8987.24,8987.24,8987.24,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10100,1,20357.0,20357.0,20357.0,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,VERIFIED,True,False
USR10104,1,18458.04,18458.04,18458.04,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10107,1,22698.19,22698.19,22698.19,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,VERIFIED,True,False
USR10110,1,13924.46,13924.46,13924.46,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10111,1,18111.68,18111.68,18111.68,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10119,1,586.09,586.09,586.09,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10125,1,10766.24,10766.24,10766.24,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10128,2,3275.9500000000007,1637.9750000000004,1637.9750000000004,23061.79976472023,1,1,0,0.5,0.5,0.0,0,0.0,0.0,,,,0,0.0,2,1,1,0,UNKNOWN,False,False
USR10134,1,1750.45,1750.45,1750.45,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10142,1,23295.4,23295.4,23295.4,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10143,2,14790.130000000001,7395.0650000000005,7395.0650000000005,212.86035434058655,2,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,2,1,0,1,VERIFIED,True,False
USR10147,1,12485.3,12485.3,12485.3,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10156,1,4524.57,4524.57,4524.57,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10159,1,3524.93,3524.93,3524.93,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10160,1,13850.23,13850.23,13850.23,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10162,1,22520.0,22520.0,22520.0,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,1,UNKNOWN,False,False
USR10168,1,12265.35,12265.35,12265.35,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNDER REVIEW,True,False
USR10186,1,10108.71,10108.71,10108.71,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10190,2,32165.690000000002,16082.845000000001,16082.845000000001,10307.007645677284,0,2,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,2,1,0,0,UNKNOWN,False,False
USR10191,1,17880.97,17880.97,17880.97,,1,0,0,1.0,0.0,0.0,1,1.0,-686.93,-686.93,-686.93,-686.93,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10193,1,4545.0,4545.0,4545.0,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10195,1,6109.15,6109.15,6109.15,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,KYC_DONE,True,False
USR10196,1,19600.08,19600.08,19600.08,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10197,1,7997.26,7997.26,7997.26,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10201,1,-22603.66,-22603.66,-22603.66,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,1,0,UNKNOWN,False,False
USR10207,1,13800.2,13800.2,13800.2,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,REJECTED,True,False
USR10208,1,20901.14,20901.14,20901.14,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10226,1,21819.53,21819.53,21819.53,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10250,1,4861.88,4861.88,4861.88,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,1,UNKNOWN,False,False
USR10255,1,5747.66,5747.66,5747.66,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10259,1,21451.3,21451.3,21451.3,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10261,1,3339.34,3339.34,3339.34,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,VERIFIED,True,False
USR10264,1,12910.67,12910.67,12910.67,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,PENDING,True,False
USR10270,1,8199.9,8199.9,8199.9,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10273,1,22701.38,22701.38,22701.38,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10276,1,22378.55,22378.55,22378.55,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10279,1,22194.96,22194.96,22194.96,,1,0,0,1.0,0.0,0.0,1,1.0,721.17,721.17,721.17,721.17,1,1.0,1,1,0,0,UNKNOWN,False,False
USR10286,1,12267.06,12267.06,12267.06,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10288,1,11412.83,11412.83,11412.83,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,1,0,1,VERIFIED,True,True
USR10294,1,23537.44,23537.44,23537.44,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10295,1,18552.46,18552.46,18552.46,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10301,1,23384.2,23384.2,23384.2,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10303,1,10374.25,10374.25,10374.25,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10317,1,20149.58,20149.58,20149.58,,1,0,0,1.0,0.0,0.0,1,1.0,-1382.96,-1382.96,-1382.96,-1382.96,0,0.0,1,0,0,0,VERIFIED,True,False
USR10322,1,408.48,408.48,408.48,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,UNKNOWN,False,False
USR10325,1,7474.11,7474.11,7474.11,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10326,1,8343.09,8343.09,8343.09,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,PENDING,True,True
USR10330,1,24348.78,24348.78,24348.78,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,False,False
USR10342,1,12275.27,12275.27,12275.27,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,,,,0,0.0,1,0,0,1,KYC_DONE,True,False
USR10347,1,13643.61,13643.61,13643.61,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,1,0,0,VERIFIED,True,False
USR10349,1,3044.34,3044.34,3044.34,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,,,,0,0.0,1,0,0,0,KYC_DONE,True,False
USR10352,2,22999.199999999997,11499.599999999999,11499.599999999999,3818.8998774254337,2,0,0,1.0,0.0,0.0,1,0.5,592.68,592.68,592.68,592.68,0,0.0,2,1,0,0,UNKNOWN,False,False
