user_id,retrospective_risk_score,risk_level,transaction_count,total_transaction_amount,chargeback_rate,total_disputed_amount,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3,explanation
USR10001,4.0,LOW,1,1720.78,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10006,0.0,LOW,1,8445.34,0.0,0.0,,,,No risk signals identified.
USR10007,0.0,LOW,2,26773.33,0.0,0.0,,,,No risk signals identified.
USR10011,0.0,LOW,1,8691.46,0.0,0.0,,,,No risk signals identified.
USR10012,0.0,LOW,1,11874.48,0.0,0.0,,,,No risk signals identified.
USR10017,0.0,LOW,1,16402.16,0.0,0.0,,,,No risk signals identified.
USR10027,0.0,LOW,1,18054.43,0.0,0.0,,,,No risk signals identified.
USR10032,4.0,LOW,1,24876.37,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10035,0.0,LOW,1,13610.91,0.0,0.0,,,,No risk signals identified.
USR10044,0.0,LOW,1,9096.65,0.0,0.0,,,,No risk signals identified.
USR10046,0.0,LOW,1,1094.88,0.0,0.0,,,,No risk signals identified.
USR10055,0.0,LOW,1,13414.9,0.0,0.0,,,,No risk signals identified.
USR10060,4.0,LOW,1,3756.23,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10061,0.0,LOW,1,5690.29,0.0,0.0,,,,No risk signals identified.
USR10064,0.0,LOW,1,6814.96,0.0,0.0,,,,No risk signals identified.
USR10069,0.0,LOW,1,7005.63,0.0,0.0,,,,No risk signals identified.
USR10071,13.333333333333334,LOW,1,14301.02,1.0,9500.5,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10074,4.0,LOW,2,33670.72,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10075,0.0,LOW,1,6711.68,0.0,0.0,,,,No risk signals identified.
USR10078,0.0,LOW,1,13714.99,0.0,0.0,,,,No risk signals identified.
USR10082,0.0,LOW,1,22723.1,0.0,0.0,,,,No risk signals identified.
USR10085,0.0,LOW,2,16240.68,0.0,0.0,,,,No risk signals identified.
USR10086,9.333333333333334,LOW,1,12874.26,1.0,6720.23,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10088,16.0,LOW,1,3809.97,1.0,-2911.37,user_chargeback_rate,user_delayed_dispute_rate,kyc_duplicate_entity,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate and kyc duplicate entity."
USR10094,0.0,LOW,1,8987.24,0.0,0.0,,,,No risk signals identified.
USR10100,0.0,LOW,1,20357.0,0.0,0.0,,,,No risk signals identified.
USR10104,0.0,LOW,1,18458.04,0.0,0.0,,,,No risk signals identified.
USR10107,4.0,LOW,1,22698.19,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10110,0.0,LOW,1,13924.46,0.0,0.0,,,,No risk signals identified.
USR10111,0.0,LOW,1,18111.68,0.0,0.0,,,,No risk signals identified.
USR10119,0.0,LOW,1,586.09,0.0,0.0,,,,No risk signals identified.
USR10125,0.0,LOW,1,10766.24,0.0,0.0,,,,No risk signals identified.
USR10128,4.0,LOW,2,3275.9500000000007,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10134,0.0,LOW,1,1750.45,0.0,0.0,,,,No risk signals identified.
USR10142,0.0,LOW,1,23295.4,0.0,0.0,,,,No risk signals identified.
USR10143,0.0,LOW,2,14790.13,0.0,0.0,,,,No risk signals identified.
USR10147,4.0,LOW,1,12485.3,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10156,0.0,LOW,1,4524.57,0.0,0.0,,,,No risk signals identified.
USR10159,0.0,LOW,1,3524.93,0.0,0.0,,,,No risk signals identified.
USR10160,0.0,LOW,1,13850.23,0.0,0.0,,,,No risk signals identified.
USR10162,4.0,LOW,1,22520.0,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10168,0.0,LOW,1,12265.35,0.0,0.0,,,,No risk signals identified.
USR10186,0.0,LOW,1,10108.71,0.0,0.0,,,,No risk signals identified.
USR10190,8.0,LOW,2,32165.69,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10191,9.333333333333334,LOW,1,17880.97,1.0,-686.93,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10193,0.0,LOW,1,4545.0,0.0,0.0,,,,No risk signals identified.
USR10195,0.0,LOW,1,6109.15,0.0,0.0,,,,No risk signals identified.
USR10196,0.0,LOW,1,19600.08,0.0,0.0,,,,No risk signals identified.
USR10197,0.0,LOW,1,7997.26,0.0,0.0,,,,No risk signals identified.
USR10201,0.0,LOW,1,-22603.66,0.0,0.0,,,,No risk signals identified.
USR10207,0.0,LOW,1,13800.2,0.0,0.0,,,,No risk signals identified.
USR10208,0.0,LOW,1,20901.14,0.0,0.0,,,,No risk signals identified.
USR10226,0.0,LOW,1,21819.53,0.0,0.0,,,,No risk signals identified.
USR10250,0.0,LOW,1,4861.88,0.0,0.0,,,,No risk signals identified.
USR10255,0.0,LOW,1,5747.66,0.0,0.0,,,,No risk signals identified.
USR10259,0.0,LOW,1,21451.3,0.0,0.0,,,,No risk signals identified.
USR10261,0.0,LOW,1,3339.34,0.0,0.0,,,,No risk signals identified.
USR10264,0.0,LOW,1,12910.67,0.0,0.0,,,,No risk signals identified.
USR10270,0.0,LOW,1,8199.9,0.0,0.0,,,,No risk signals identified.
USR10273,0.0,LOW,1,22701.38,0.0,0.0,,,,No risk signals identified.
USR10276,0.0,LOW,1,22378.55,0.0,0.0,,,,No risk signals identified.
USR10279,13.333333333333334,LOW,1,22194.96,1.0,721.17,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10286,0.0,LOW,1,12267.06,0.0,0.0,,,,No risk signals identified.
USR10288,2.666666666666667,LOW,1,11412.83,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10294,0.0,LOW,1,23537.44,0.0,0.0,,,,No risk signals identified.
USR10295,0.0,LOW,1,18552.46,0.0,0.0,,,,No risk signals identified.
