user_id_normalized,transaction_count,total_transaction_amount,successful_transaction_count,failed_transaction_count,chargeback_count,total_disputed_amount,avg_transaction_amount,kyc_status_clean,kyc_duplicate_entity_flag,kyc_match_flag
USR10001,1,1720.78,0,1,0.0,0.0,1720.78,VERIFIED,False,True
USR10006,1,8445.34,0,0,0.0,0.0,8445.34,,,False
USR10007,2,26773.33,2,0,0.0,0.0,13386.665,VERIFIED,False,True
USR10011,1,8691.46,1,0,0.0,0.0,8691.46,,,False
USR10012,1,11874.48,1,0,0.0,0.0,11874.48,,,False
USR10017,1,16402.16,1,0,0.0,0.0,16402.16,,,False
USR10027,1,18054.43,1,0,0.0,0.0,18054.43,KYC_DONE,False,True
USR10032,1,24876.37,0,1,0.0,0.0,24876.37,,,False
USR10035,1,13610.91,1,0,0.0,0.0,13610.91,,,False
USR10044,1,9096.65,1,0,0.0,0.0,9096.65,,,False
USR10046,1,1094.88,1,0,0.0,0.0,1094.88,VERIFIED,False,True
USR10055,1,13414.9,1,0,0.0,0.0,13414.9,,,False
USR10060,1,3756.23,0,1,0.0,0.0,3756.23,,,False
USR10061,1,5690.29,1,0,0.0,0.0,5690.29,,,False
USR10064,1,6814.96,1,0,0.0,0.0,6814.96,PENDING,False,True
USR10069,1,7005.63,1,0,0.0,0.0,7005.63,VERIFIED,False,True
USR10071,1,14301.02,0,0,1.0,9500.5,14301.02,,,False
USR10074,2,33670.72,1,1,0.0,0.0,16835.36,,,False
USR10075,1,6711.68,1,0,0.0,0.0,6711.68,,,False
USR10078,1,13714.99,1,0,0.0,0.0,13714.99,KYC_DONE,False,True
USR10082,1,22723.1,1,0,0.0,0.0,22723.1,,,False
USR10085,2,16240.68,1,0,0.0,0.0,8120.34,VERIFIED,False,True
USR10086,1,12874.26,1,0,1.0,6720.23,12874.26,REJECTED,False,True
USR10088,1,3809.97,1,0,1.0,-2911.37,3809.97,VERIFIED,True,True
USR10094,1,8987.24,1,0,0.0,0.0,8987.24,,,False
USR10100,1,20357.0,1,0,0.0,0.0,20357.0,VERIFIED,False,True
USR10104,1,18458.04,1,0,0.0,0.0,18458.04,,,False
USR10107,1,22698.19,0,1,0.0,0.0,22698.19,VERIFIED,False,True
USR10110,1,13924.46,1,0,0.0,0.0,13924.46,,,False
USR10111,1,18111.68,1,0,0.0,0.0,18111.68,,,False
USR10119,1,586.09,1,0,0.0,0.0,586.09,,,False
USR10125,1,10766.24,1,0,0.0,0.0,10766.24,,,False
USR10128,2,3275.9500000000007,1,1,0.0,0.0,1637.9750000000004,,,False
USR10134,1,1750.45,1,0,0.0,0.0,1750.45,,,False
USR10142,1,23295.4,1,0,0.0,0.0,23295.4,,,False
USR10143,2,14790.130000000001,2,0,0.0,0.0,7395.0650000000005,VERIFIED,False,True
USR10147,1,12485.3,0,1,0.0,0.0,12485.3,,,False
USR10156,1,4524.57,1,0,0.0,0.0,4524.57,,,False
USR10159,1,3524.93,1,0,0.0,0.0,3524.93,,,False
USR10160,1,13850.23,0,0,0.0,0.0,13850.23,,,False
USR10162,1,22520.0,0,1,0.0,0.0,22520.0,,,False
USR10168,1,12265.35,1,0,0.0,0.0,12265.35,UNDER REVIEW,False,True
USR10186,1,10108.71,1,0,0.0,0.0,10108.71,,,False
USR10190,2,32165.690000000002,0,2,0.0,0.0,16082.845000000001,,,False
USR10191,1,17880.97,1,0,1.0,-686.93,17880.97,,,False
USR10193,1,4545.0,1,0,0.0,0.0,4545.0,,,False
USR10195,1,6109.15,1,0,0.0,0.0,6109.15,KYC_DONE,False,True
USR10196,1,19600.08,1,0,0.0,0.0,19600.08,,,False
USR10197,1,7997.26,1,0,0.0,0.0,7997.26,,,False
USR10201,1,-22603.66,1,0,0.0,0.0,-22603.66,,,False
USR10207,1,13800.2,1,0,0.0,0.0,13800.2,REJECTED,False,True
USR10208,1,20901.14,1,0,0.0,0.0,20901.14,,,False
USR10226,1,21819.53,0,0,0.0,0.0,21819.53,,,False
USR10250,1,4861.88,1,0,0.0,0.0,4861.88,,,False
