join_type,normalized_id,raw_id
txn->kyc,USR35532,USR35532
txn->kyc,USR27682,USR27682
txn->kyc,USR75989,USR75989
txn->kyc,USR70727,USR70727
txn->kyc,USR84401,USR84401
txn->kyc,USR58062,USR58062
txn->kyc,USR77508,USR77508
txn->kyc,USR31183,USR31183
txn->kyc,USR27758,USR27758
txn->kyc,USR36703,USR36703
txn->kyc,USR99157,USR99157
txn->kyc,USR75482,USR75482
txn->kyc,USR87291,USR87291
txn->kyc,USR88669,USR88669
txn->kyc,USR30674,USR30674
txn->kyc,USR42003,USR42003
txn->kyc,USR87362,USR87362
txn->kyc,USR89922,USR89922
txn->kyc,USR43044,USR43044
txn->kyc,USR70415,USR70415
txn->merchant,MCH8463,MCH8463
txn->merchant,MCH6132,MCH6132
txn->merchant,MCH8009,MCH8009
txn->merchant,MCH1648,MCH1648
txn->merchant,MCH6901,MCH6901
txn->merchant,MCH9746,MCH9746
txn->merchant,MCH6089,MCH6089
txn->merchant,MCH4607,MCH4607
txn->merchant,MCH6910,MCH6910
txn->merchant,MCH8961,MCH8961
txn->merchant,MCH8812,MCH8812
txn->merchant,MCH2333,MCH2333
txn->merchant,MCH1693,MCH1693
txn->merchant,MCH6658,MCH6658
txn->merchant,MCH8190,MCH8190
txn->merchant,MCH9372,MCH9372
txn->merchant,MCH2866,MCH2866
txn->merchant,MCH8347,MCH8347
txn->merchant,MCH3320,MCH3320
txn->merchant,MCH1282,MCH1282
cb->txn,TXN00036584,
cb->txn,TXN00094322,
cb->txn,TXN00078658,
cb->txn,TXN00038794,
cb->txn,TXN00038189,
cb->txn,TXN00066039,
cb->txn,TXN00086757,
cb->txn,TXN00099329,
cb->txn,TXN00055417,
cb->txn,TXN00084424,
cb->txn,TXN00032415,
cb->txn,TXN00059954,
cb->txn,TXN00058515,
cb->txn,TXN00048192,
cb->txn,TXN00051122,
cb->txn,TXN00047225,
cb->txn,TXN00046623,
cb->txn,TXN00049458,
cb->txn,TXN00045816,
cb->txn,TXN00060420,
cb->kyc,USR26201,
cb->kyc,USR23820,
cb->kyc,USR35532,
cb->kyc,USR58062,
cb->kyc,USR93701,
cb->kyc,USR15888,
cb->kyc,USR43890,
cb->kyc,USR87362,
cb->kyc,USR22039,
cb->kyc,USR43379,
cb->kyc,USR97266,
cb->kyc,USR75327,
cb->kyc,USR66726,
cb->kyc,USR10307,
cb->kyc,USR75314,
cb->kyc,USR80617,
cb->kyc,USR14769,
cb->kyc,USR45218,
cb->kyc,USR23466,
cb->kyc,USR87558,
cb->merchant,MCH9334,
cb->merchant,MCH3165,
cb->merchant,MCH8723,
cb->merchant,MCH5078,
cb->merchant,MCH1635,
cb->merchant,MCH7259,
cb->merchant,MCH2925,
cb->merchant,MCH2989,
cb->merchant,MCH5439,
cb->merchant,MCH6910,
cb->merchant,MCH2963,
cb->merchant,MCH5300,
cb->merchant,MCH8961,
cb->merchant,MCH8812,
cb->merchant,MCH8732,
cb->merchant,MCH9788,
cb->merchant,MCH7713,
cb->merchant,MCH8190,
cb->merchant,MCH3064,
cb->merchant,MCH6695,
