section,kpi,value
transaction_kpis,total_transactions,20000
transaction_kpis,total_amount,239232643.3
transaction_kpis,avg_amount,11961.63
transaction_kpis,median_amount,12218.01
transaction_kpis,min_amount,-24847.86
transaction_kpis,max_amount,24998.12
transaction_kpis,successful_count,17053
transaction_kpis,failed_count,1955
transaction_kpis,pending_count,992
transaction_kpis,success_rate_pct,85.26
transaction_kpis,failure_rate_pct,9.78
transaction_kpis,pending_rate_pct,4.96
transaction_kpis,date_range_start,2026-01-01
transaction_kpis,date_range_end,2026-12-03
transaction_kpis,analysis_days,337
transaction_kpis,avg_txn_per_day,59.35
transaction_kpis,avg_value_per_day,709889.15
transaction_kpis,missing_amount_count,0
transaction_kpis,negative_amount_count,420
transaction_kpis,parse_failed_amount_count,0
chargeback_kpis,total_chargeback_records,2567
chargeback_kpis,transactions_with_chargeback,2451
chargeback_kpis,chargeback_rate_pct,12.255
chargeback_kpis,total_disputed_amount,6342602.86
chargeback_kpis,avg_disputed_amount,2432.91
chargeback_kpis,median_disputed_amount,1561.56
chargeback_kpis,disputed_amount_ratio_pct,2.6512
chargeback_kpis,avg_report_delay_hours,1256.78
chargeback_kpis,median_report_delay_hours,846.16
chargeback_kpis,disputes_after_7_days,1102
chargeback_kpis,disputes_after_7_days_pct,44.96
data_quality_kpis,utr_missing_count,1000
data_quality_kpis,utr_missing_pct,5.0
data_quality_kpis,negative_amount_count,420
data_quality_kpis,negative_amount_pct,2.1
data_quality_kpis,invalid_timestamp_count,0
data_quality_kpis,invalid_timestamp_pct,0.0
data_quality_kpis,unmatched_kyc_count,13522
data_quality_kpis,unmatched_kyc_pct,67.61
data_quality_kpis,unmatched_merchant_count,10369
data_quality_kpis,unmatched_merchant_pct,51.84
data_quality_kpis,duplicate_txn_id_count,0
data_quality_kpis,duplicate_txn_id_pct,0.0
data_quality_kpis,referential_integrity_issue_count,16867
data_quality_kpis,referential_integrity_issue_pct,84.33
